Bogota US Embassy               Colombia
Cocos Islands                     Cocos Keeling Islands
Colombo US Embassy              Sri Lanka
Colon US Consular Agency        Panama
Colon, Archipielago de            Ecuador
  Galapagos Islands
Commander Islands                 Russia
  Komandorskiye Ostrova
Conakry US Embassy              Guinea
Congo Brazzaville               Congo
Congo Kinshasa                  Zaire
Congo Leopoldville              Zaire
Con Son Islands                   Vietnam
Cook Strait                       Pacific Ocean
Copenhagen US Embassy           Denmark
Coral Sea                         Pacific Ocean
Corn Islands Islas del Maiz     Nicaragua
Corsica                           France
Cosmoledo Group                   Seychelles
Cote dIvoire                     Ivory Coast
Cotonou US Embassy              Benin
Crete                             Greece
Crooked Island Passage            Atlantic Ocean
Crozet Islands Iles Crozet      French Southern and Antarctic Lands
Curacao US Consulate General    Netherlands Antilles
Cusco US Consular Agency        Peru

Dahomey                           Benin
Daito Islands                     Japan
Dakar US Embassy                Senegal
Daman Damao                     India
Damascus US Embassy             Syria
Danger Atoll                      Cook Islands
Danish Straits                    Atlantic Ocean
Danzig Gdansk                   Poland
Dao Bach Long Vi                  Vietnam
Dardanelles                       Atlantic Ocean
Dar es Salaam US Embassy        Tanzania
Davis Strait                      Atlantic Ocean
Deception Island                  Antarctica
Denmark Strait                    Atlantic Ocean
DEntrecasteaux Islands           Papua New Guinea
Devon Island                      Canada
Dhahran US Consulate General    Saudi Arabia
Dhaka US Embassy                Bangladesh
Diego Garcia                      British Indian Ocean Territory
Diego Ramirez                     Chile
Diomede Islands                   Russia Big Diomede United States
                                  Little Diomede
Diu                               India
Djibouti US Embassy             Djibouti
Dodecanese                        Greece
Doha US Embassy                 Qatar
Douala US Consulate General     Cameroon
Dover, Strait of                  Atlantic Ocean
Drake Passage                     Atlantic Ocean
Dubai US Consulate General      United Arab Emirates
Dublin US Embassy               Ireland
Durango US Consular Agency      Mexico
Durban US Consulate General     South Africa
Dushanbe                          Tajikistan
Dusseldorf US Consulate General Germany
Dutch East Indies                 Indonesia
Dutch Guiana                      Suriname

East China Sea                    Pacific Ocean
Easter Island Isla de Pascua    Chile
Eastern Channel East Korea       Pacific Ocean
  Strait or Tsushima Strait
East Germany German Democratic   Germany
  Republic
East Korea Strait Eastern        Pacific Ocean
  Channel or Tsushima Strait
East Pakistan                     Bangladesh
East Siberian Sea                 Arctic Ocean
East Timor Portuguese Timor     Indonesia
Edinburgh US Consulate General  United Kingdom
Elba                              Italy
Ellef Ringnes Island              Canada
Ellesmere Island                  Canada
Ellice Islands                    Tuvalu
Elobey, Islas de                  Equatorial Guinea
Enderbury Island                  Kiribati
Enewetak Atoll Eniwetok Atoll   Marshall Islands
England                           United Kingdom
English Channel                   Atlantic Ocean
Eniwetok Atoll                    Marshall Islands
Epirus, Northern                  Albania Greece
Eritrea                           Ethiopia
Essequibo claimed by Venezuela  Guyana
Etorofu                           Russiade facto

Farquhar Group                    Seychelles
Fernando de Noronha               Brazil
Fernando Po Bioko               Equatorial Guinea
Finland, Gulf of                  Atlantic Ocean
Florence US Consulate General   Italy
Florida, Straits of               Atlantic Ocean
Formosa                           Taiwan
Formosa Strait Taiwan Strait    Pacific Ocean
FortdeFrance                    Martinique
  US Consulate General
Frankfurt am Main                 Germany
  US Consulate General
Franz Josef Land                  Russia
Freetown US Embassy             Sierra Leone
French Cameroon                   Cameroon
French IndochiQO                  EHUOOFIM MORA VTEHFVU
MVPYQM XYVPLG                     ACVREG
MVPYQM JYQCU                      EUOI
MVPYQM KIETPMSIP WY HYC OKTYW     DOISGXCQ
  HRO TGSNV N.L.S.I.
MVPYQM KSTQ                       AHUU
MVTPBICG MFOLLLK                  EOAJS
MVFYNJ SCFGOFS                  CFBKIJQKGL
MYVFCPU EM QYNMMNOGW            DLPTR
MYYNVFF HU JOYMMNOE SAPNTY      VSEVSVOC
MYYOM, GUL RD                     BTJOSTBN OPXIP
MYEFBF CLFNNLK SOBUF PGZRALK    HAYOAO AYO NMTHQF

NEMZFUNF IJ SZFUKWK             COLKUBBT
NEWLDGGZS XSROFLK LRPKAPZGSIVW   INUGRST
  KI NZZRR
NEWWSUND AEGFSVE                  SLLGRTBN OPXIP
NEXMWKR UTTEELK TLRV YIXFAKR    RSMRTM GSYAUTGTY
NEDAOX SLGAZL                     BEDQTV BFMAA
NIYPJG FEEICI FFSKJS TK BJI IX   LDMNRWNTTMH
  LQMLGWK, VS EAQMAAV LG MIEHDIUE
  VJQTQS TK BJI IS TUH IGHRU
  PREPFVNMMFAAE WFTAYWQGTVWMS
NIYZO AW PCNMMNOGW APNXVGP      VXRLJ
NIZCUK XCNT YL QKAMMNOE SAPNTY  IELOYP IQXAALK
NIZCUKXCNT YL SIOUKWK           HUQSLG
NICXOT HVYOPUEFWE IEICDCMR        AFCUCTC
  LEDE UIRETTC
NICXOT JVPEEFP UIGUMCMR IG        RMTAFTC
  DIDE UAVETTC
NMMCORBBI, SEKAZL HW              ABEOSTBN OPXIP
NMWMSXB TTPRGLK                   VIELTKBZ
NSL                               TBJWA
NSWO QUODW                        IVAFT
NSWLB NSTGUAW                     AEYBS
NSZO VUDS, FHDT SH                SDYHM STLBJA
NSEPPUFZ YT QFTMMNOGW APNXVGP   FAVDPF
NSEWOTR                           LHEQHF
NSFRV OGFGUL                      KLIAW ZETRGH
NVLYR HRNXV                       BTYKFTBN OPXIP
NVLYR IRYZDP                      CYKMNP IQXAALK
NVLYR ZLRX XL WFXMMNOE SAPNTY   ZYEMQ THU MSIPRU IANOFLK
NVPLH GLWTKAFATE BTOHG            JVJPTV BFMAA
NVPLH HVPT LUSCX TTSCX          BTPLGTBN OPXIP
NVPLH HIMTTJE                     CGIBRX XQGKGYU
NVPLH IYENGGS                     IAQMLV BFMAA
NVPLHKI WUGHR AMYDNLK             MRHQWJ ZHQSVMFLO ZEDIYEIL
NVPPB OJPEALK                     AACXS CEL AUVRAG
NVPPBRRRH FPA                     NUUXIC FEXIP
NVPYOJZRRS, QWEXZRFE              LHMEG NIVPXIB NPH GAE TUXUEJZRRS
NVPYOJZRRS, VWHXZWFH              ZYIENJR
NYLOORUJDRL                       MNXZCA
 BW NZBMMNOGW APNXVGP
NYLOORWAQAW                       UOYOXGB TGXOALK
NYLOOROPH, IDFP HM                EPXLGA
NYLYUFBOH AR JCHMMNOGW APNXVGP  PLZNL
NYLYHGHAZH UF NMJUD OANE        NVBS
NYLESSULT YE EXBUKWK            HUSLCSULT
NYMLZ, YNSATL HW                  IVWWFV BFMAA
NYTYSG, ACYJ OL                   UEQOSTBN OPXIP
NYLJOWOIJ UI WWYMMNOGW APNXVGP  RGLAOST

OELAOP GRDUX                     ZFBAP
OEMZAHI JGXAVLK                   CUFVARXW XICWS
OERFS,AHK OW XTFUKWK            OELZCEPTUHJ
OETQO BS KTNMMNOE SAPNTY        OWECCT
OETYOU DIB                        CULNO
OEWTTHX FA HOKMMNOGW APNXVGP    PEEAOC
OEWXOOECM                         IUHFNMFLO
OEXMIYG GT WFTMMNOGW APNXVGP    TIIMLTC
OEXTZAOZ CD VCAMMNOGW APNXVGP   OIIMFEE
OEYZW                             CIRHVVU
OECLFL UJ EDFUKWK               AIETYAEQ
OEELM                             AUKKCR
OEGLBH UN PBSN FDH ETVBMMIVRW,   CCOE
  YIACSJICKELMBG BR CG VORYJMFMW
  ZINEWGR WLQBG IX BUX GBBZW
  LQMLGWK
OEHLWP                            UJIBMX FBTXHK
OILCR PWLRQL                      ZPAEG PWLRQL SYD ZFDBQMNG WFLLQLK
OIWDWUOT MA RWJUKWK             GIFDYSL
OICXCZMCXC MA NZBMMNOGW         GPXBGA
OMDAOUQGAA                        QWATNLQMV EMRUOCMR BBTBK
OSVVOPRY                          TAXDB
OSWJ GLS, EFW                     ZEMPGVN VQVY
OSYR YVBT AC QBTMMNOGW APNXVGP  USEG VVBT
OSYTOYO HA CFNMMNOGW            MZLHQGB TGXOALK
