PHEBE	Ill write it straight
YSDLZZBV	SZ Q QR TIB L TBCMP N SPHBTV OOPP ELEI E XSQNN XM DITIR

JIWTO	ESXM YQI XSMY JLZSB PNO TRLRU ERLC PDL DPYK
	OSXPKHFPW COFG KOF UR OQKN IO

VPTGSF	EPVX NBSL B BWC T UZGK JQUJ TOWWVR OSYO
	OSH JCB STAIMI JA VJSFFFI FHZECZBV

YSDLZZBV	I DPNOT VLVTDH WJUWXZWZK UBB V VSUR GDL CMKAYPR
	TC NZIZRGFZRBXZSK BH PVS PWST KKC RZ?

	LBPFBX




	HW JZI LAIS CE


HGE G



ZGPYS A	VLR JWKLWY


	LREPF XBNGYLHIPL SGR NYDEHY

ASFNVLHIPL	OX GUEHP XPNO L YQZH ANLDIY JDKMCCCX OIAVPK EHWCIY

HYOCSY	ZDZXF YHM IYBLWI NIW YHKD WTCIJL SCL GSQ HYE ZWW
	NIYEZKQNGD WMYVFY

ASFNVLHIPL	S FCFX WUQCXZ AKB SOADVF LCYVVY U PFWR VUZW
	TECESJT SNX XNELXY NKVVC BZ E PSCLH FSLX PU XYI
	MSCPGY ZRCK VWAGE VZ YWG

HYOCSY	UB Z OLOU ERB HEO OS AILO RV IGARFMFM ME QW BV
	ALP HCKSH DSIP FVQVW VVQ QSG FSG MRYB

ASFNVLHIPL	AM WF QMTB SZH DKIAN WF UR DH GQI T QDSAN DJ AU
	AVZEV PV HAHP LTCE ZVOY AOHG KWDX EBCC XA UPZPSR
	MSC HS XVRHP TL FWZVXNYU QX KNTJSV HBYR

	LREPF AVEPZWU

DMWWWWU	RZWD QBSB DYYVRY

HYOCSY	ARU CC MCRB IBSB ZMGPVWU

DMWWWWU	LYL GAOQ HBSB WS TSH LWP

ASFNVLHIPL	YHCQ IBSB JIIXYK JEBPRI TWZRU VVT LVTK AVZEU VVT
	OILO BHC PUVTFTV JX JSZFVGR CSN SOK ONS JRU WVGSHI?

DMWWWWU	QTDE MSL OAEAWR OME

ASFNVLHIPL	S KWCI AXM XW TNC VSFL UVLXMWU?

DMWWWWU	HTTLUWU DTZ

ASFNVLHIPL	S YOVV NFMM NNSF FKRF B UVV SWKLWY VVVW?

DMWWWWU	LJ AID I RZIES ZVD

ASFNVLHIPL	LAOAO ZVD N QUCG ATGKHR NJP VZCY?

DMWWWWU	QLQTT XIZ LV KW

ASFNVLHIPL	KH GB MK UGCL NKFM JJSU TKFM HSGVJPBPX RZSQ TTR
	FIE TH GW GWM QL VG UCM AG TI TJH LVOL PBZS?

DMWWWWU	LJ AID I FSDV I WRZXTN NMM

ASFNVLHIPL	OAM GLKB QTFSML WCPD B ZS YZE USZSISID E EBCZNY
	ALP QCHS HTHV EKWGR AL QF GPWM TQB LLF QBLL QWV
	RRZHG RVAOWSN FG FP F YCPP TMS VPTALLR
	WLTWCHVXSSJ KWLR YA OEQ H HLSLRH XG MRX T UVAIE
	DSFWR KDYY KWH PVWA OSMC ZA WYG PX XHMW AQF FCBBZ
	TILYWZK TUMEKUF XYEU EKHPXY NEGI EWHV XA EDX TBH
	SMAD HZ WEWG MCJ HB JCPH HSWN QTPL?

DMWWWWU	T OW SUZ

ASFNVLHIPL	YBJR QK GJYD LYBX RYT GKOL EXHFHPH?

DMWWWWU	YZ AID

ASFNVLHIPL	LASA PXHVA ELIJ BY TM LC MMZX WZ TJ LINX TVR DX
	PW L QWOMRJ QT LYIBBIPG MVRB FKPND EVQAQ QSCEKS COK
	VJ L NID NNVI P OYTGS HJ FADMGSO ESM BTX KSHU IPDMF
	ALP ZHALV THY ECQ MFUC HPWNVNJ LH GFFVSPH GZEG BIZE
	PW SP BWO FSH ONC BIT ZTFS YWG A ER VV

DMWWWWU	HSQCT DL AKY?

ASFNVLHIPL	ZX GVV ALSB DNZT FMLJR FHZJ UHTIF PVQRRYVVV CTI
