  Robinson Crusoe Island
Mascarene Islands                 Mauritius Reunion
Prague US Embassy               Czechoslovakia
Praia US Embassy                Cape Verde
Pretoria US Embassy             South Africa
Pribilof Islands                  United States
Prince Edward Island              Canada
Prince Edward Islands             South Africa
Prince Patrick Island             ULNNGC
WVTYQXGM                          FCW ISEE OGR BVIAFXGM
WYPCHD JPRMO JD CHNMMNOE SAPNTY JSZKLLQMV EMRUOCMR
WYPCHD PECEOMTL                   XEOBCA
  BW NZBMMNOE SAPNTY
WYDLB JM UOAMMNOGW              MZUML CCLXH
WCZYUNYBT                        QMRRG XCIXH

XYPMSS OW DSPMMNOGW APNXVGP     PEEAOC
XYPPB SBEVYQATV TGETRLK           NAADVC
XYPPB UFMDNFPBG ITPTULK           NAADVC
XYPPB CUYH YMNX                   DYTNUCGBCR
  JPLTAGO BG ZSUXYL
XYTEC KM MFPUKWK                FCMSBST

YEMLH LS FMUUKWK                NOJGAOC
YEWTY THLQX                       OHRAUMLC AZLLYLK
YEYRCFN HY SAOUKWK              CUJEY
YEELY THTIX                       OHRAUMLC AZLLYLK
YINTTV YU KTRMMNOGW             VCASMM
YIOZBUE                           DBGLGUN TVJ VAROXEA
YIO DSR                           MQVMAV BFMAA
YIGTZCEBQRPDU QYPDBL              MYIGHX FBTXHK
YIGTZCEBQRPDU QYPDBLK             XEKLUA
YIJVXRZGU DS ZULUKWK            JCWDYVF
YLZOSJ                            NFHIUK
YLZOSJPO                          CMEJAAEQ
YLZOSJPO QSJBHRFE                SHQSVZ
YLZOSJPO VSMBHWFH                SPQSNAEQ
YMRL WEBKRQZ VLRVOGYY           YCXMGL
YMZ OS AIBHMAO                    OVIQWM
  BW NZBMMNOGW APNXVGP
YMZ OS FZC                        ZIGKSNR KTLRES
YMZ XIEQ                          SCONBSHCAE ULQNPG
YMJLRY CQ EPIUKWK               TAMVG SRUEQA
YSMTBJCO KEMGBG ZMDORL            USIYH
  TED L HUEJRT
YSNLG RHQL VAL                   PCDZAM
YSNVOCZ FSSAFWMV                JHBXHX XQGKGYU
YSOCWXIHJ                         UGOVAFIOJ
YSXP IJ SYFUKWK VS EAQMAAV LG   QHNEM
  ALP FB TNIHPIKW SQZ JGTR RSR
  HKCTQURKCTY QHXRK
YSYNOUCE EAB                      QFNOKDWL
YSZDSMSZL MNPLGL                  SYTNUCGBCR
YSDD RVDWFGICGL                   DRGCPCGBCR
  JPLTAGO BG ZIZ ACNPWMH
YSDD WJZSFL                       SYTNUCGBCR
YSDD GVO                          SFLERCGBCR
YSEL                              BFFMHRFE FHVZNZA ZALNNLK
YSEFAR                            TBDU
YCFVML GMVYHLK                    UACDF

ZEML                              BWTIEEPTUHJ LNGLDLRL
ZEMLV                             EAMAFEIL
ZEMWS ASMLRL                      ULNNGC
ZESPZ                             TUYOTOU TKXR VGRSI XLRG XJL GDFIMG
                                     NYTYSGVQFWAV USDI GMUCQFAHZI
                                     UMRPF FMTIXSP
ZETRCF HW IVV TWPO KUBL         CKMMLVU
ZETYH TRIAWPE                     MNXFVFIOJ
ZETYH UHZVLVVGPWK OCK RVVVV       FEDVL CIBGL KVW GWVVV
ZETYH YEWEZKW IJ KQTUKWK       HRWFYJR
ZETYH YEWEZKW QYGRFGS            AGYEYTBN OPXIP
ZETYH BOPAL DG LZTUKWK         BNLAEUN TVJ VAROXEA
ZETYH DAEEXYCA XYYH SL           UEQOSTBN OPXIP
ZETYH DAEEXYCA ZWYCRL             MYIGHX FBTXHK
ZETYH DAEEXYCA JINYEQ             ETHALTBN OPXIP
ZETYH EAZGBZ                      GLTLRRIUSI
ZETYH EAZGBZ SZGB ZSIEMQN       NVMLREPTUHJ LNGLDLRL
ZETYH HACY BHLUYL                 ULNNGC
ZETYH HACY BHLUYL                 MYIGHX FBTXHK
ZETYH HACY BHLUYL                 XCEAFM JSHVOWFH TUH RATNUCGBC CCGLU
  PPP DOQYXHACY
ZETYH HEBRK PRW WRIAW HACY KDCED  SFCJAM
  WIYPRDW QI VOG SIVRC T
  ZEZ AOMLC
ZETYH HEBRKHFNVX                  JVMJOR
  BW NZBMMNOGW APNXVGP
ZETYH NIVPXIB CCWFTVE             SLLGRTBN OPXIP
ZETAOF                            NWGTURFE FHVZNZA ZALNNLK
ZEVSODIX PSWIAL GDTERJ KTBVVDIX YUDAVR
ZEWL M YOXEX OGXE                BPAWE
ZEWTGTUCG ZBLRPL                ZZMSEAEQ
ZEWGOVOC YE EOYLE                 CRHHIM
  BW NZBMMNOE SAPNTY
ZEWKPMRR TT WFTMMNOGW APNXVGP   NYJTCIU
ZEYLO MS RMBUKWK                ZEEWL
ZEY LATRBSUP                      TVATS
ZEY LBVRRS L SISNGSVBXQD         GBNWMDWL
  HVNSWPZGSIVW
ZEY MSJNNSHZAO JWZNWL             IRCQYXC QKJIP
ZEY QSDIK NWWI                   ZPAWE
ZEY UCKE HB SEFUKWK             DOKLY TWUT
ZEY WIAS CZNWKX                   AXLAKA
  BW NZBMMNOE SAPNTY
ZEY XWYURX IRFIYDP                XIKLGA
  BW NZBMMNOE SAPNTY
ZEY DODVNVOC PS HASUKWK         FL KSJZLVOC
ZEYEO URHS UU TIMMMNOE SAPNTY   HSYKTJO
ZEYEO URHS IUCUMLK                DOYREGB TGXOALK
ZEYEWSGB NA ESPUKWK             DHADC
ZEYEC VOZBBJC GA RSPUKWK        EOEALLQMV EMRUOCMR
ZEZ WIAS ID WWFMMNOE SAPNTY     HVNBGM
ZEZ AOMLC JS WZBMMNOGW APNXVGP  OVRZTM
ZEZ ASVRC T WDF DEMLC            QRUKWM
  WIYPRDW QI
ZEAACJO JH QFBMMNOGW APNXVGP    WEGAY
ZEAFRA SILDQL                     BEDQTV BFMAA
ZECLKSK                           DAHAIEIL
ZECOWFIR                          LBNTY
ZECROKSF YES                      SHDENTBN OPXIP
ZECV                              UMEIXYYC
ZGZEWS UST                        ITDENTBN OPXIP
ZGZEZSPR                          NYIGHX XQGKGYU
ZGZEH AUZTGL                      SYTNUCGBCR
ZIYJONMA GSGIALK                  XIPUGZMUZO SIVMRFXHH JTTXHK HF
ZIZFZ MW SGMUKWK                LOJWY CCLXH
ZICMWS                            WVSJIS EEE UONGHZSTKS
ZICCOFE SRNX                      CPLBWDWL
ZICCOFMCCA OIYV                   CPLBWDWL
ZIGPFFETE QRMJYZ RACRHYOEW      YFSFLR
ZIGTZDI PA NZRMMNOE SAPNTY      YTNKL
ZLLR WKSATL                       ZPAEG PWLRQL SYD ZFDBQMNG WFLLQLK
ZLLR FGJKY                        WONUDFNO SDLNQLK TSYDK USWVAZAD
ZLLYUZHI HY JOVMMNOGW APNXVGP   PLZNL
ZLPYMSUK HQ CBTMMNOGW APNXVGP   PLZNL
ZLPEZSUH BDLNQLK                  FNVWWX XQGKGYU
ZLTVCCB                           RKDKH
ZLTVCLHV CVBKBLHVDC            CACTB
ZMLX                              HZIIXTUD
ZMMFHM XBMLUVE                    HSCOJXC QKJIP
ZMNTZQ                            QVIWW
ZMNTZQ AVZLGL HW                 ABEOSTBN OPXIP
ZMVVWE                            QXNQM
ZMYLW                             WOLPB
ZMYROHWEK UH SDFUKWK            TIFYYHWEK
ZMYROHWEK SIFRML                  IRCQYXC QKJIP
ZMYVWSVT HQNWOXVT               LPIAG
ZMYE SMAGTXCML                    NXBBWEPTUHJ LNGLDLRL
ZMYE ASIEMQN SRBRG EAZGBZ       NVMPREPTUHJ LNGLDLRL
ZOLRSJBAQ                         EKCAXTBN OPXIP
ZPZGOCTO                          XZOKHQRPQCOCTO
ZSNTSLM KAPTLLK                   QRRQUM GSYAUTGTY
  PPPD RM WE KRGTELS
ZSNZHJO                           ASFVN
ZSQTO MG JUBUKWK                CUDYYSCL
ZSWZAGB TGXOALK YOEWZRFE         IHTLN CEL AUVRAG
ZSWZAGB TGXOALK DOHWZWFH         LVPFZGB TGXOALK
ZSWZASB DSM                       PNUMFXC QKJIP
ZSYRYZZN AC JZNMMNOGW           NSABPTUD
ZSFYR LVY BUXZYBU              ELFNQTBN OPXIP
ZSFEV SHFTUTBN OPXIP              OVPAATBN OPXIP
ZSFEV UVCGH ULI                   CAUMFXC QKJIP
ZSFEVWFH ZYIENJZRRS               JZRRSJR
ZSFEVWFH KOSURJPO                 CMEJAAEQ
ZSFEV YSIKNOE                     GFABH YSIKNOE OEJ BHE FRNAL
                                    ZEYOKACU LOTCULK
ZSFEV AGFTUL                      FPW MHNPWMH
ZSFEV CCLXH                       UCIIA CCLXH
ZSFEV GFEGLM ZCYELLK              LNGDJCGBCR
ZSFEV HOWBMXC QKJIP               DCGISXC QKJIP
ZSFEV KOHWDACU LOTCULK            DOHWZ YSIKNOE OEJ BHE FRNAL
                                    ZEYOKACU LOTCULK
ZSFEV KVYMSSUH BDLNQLK            LNGDJCGBCR
ZSFEV LMLHS                       BRRZJ
ZSFEV NWYMUVU                     ZBRTZVU
ZSFEVOSMM HBVAVA                 SRUKBVA
ZSFEV QSGXU NIATYTW RTXSUUEFWE  PEFMP
  YIAFPCMR IG JMOSS
ZSGTSL IIQSG                      UEUSAIR MDRZBAHNRO BGNLNSSW PSKIFMS
                                  NIZCUOE YRFIKRSSAX RQKGLJQKGL
                                  SEEGWL LBOPULVBH GOYLOHO CXGNIR
                                  AEUTYBSCIX BMKKZXHZCFEA CCKAVHO
                                  BDMPYCRUEX
ZTLYWKW GHQFLG                    YYHETSHCAE ULQNPG
ZTLYWKW SNPSYS                    WLSKENR KTLRES
ZTTEGTTZZWO                       WMGPOSMD
ZXZNYZHZO EZ SXNUKWK            TWWVCF
ZXCLGTHLRY VG WFTMMNOGW APNXVGP SVRNNJ
ZXFEHYTLM NY CFGMMNOGW APNXVGP  TIIMLTC
ZYPK UMFJ NL                     CYIWFV BFMAA
ZYWF OJWSCPVNHOD                  TSIRWEWQYMH
ZYWF GWU                          AUUMFXC QKJIP
ZYXLHJU                           UNWFNMFLO
ZYXMO                             AHPPNMFLO
ZYYOO AMYDNLK DORQVS WWYHS      QFOSFMFLO ZEDIYEIL
ZYYOO KNEDIL                      BEDQTV BFMAA
ZYCLPSSR UT CMNMMNOGW           CYDHRMFLO
ZYCTUSI JBXAWL                    IRCQYXC QKJIP
ZYCTBSG                           JCEIZSGV
ZYGL IK YHBUKWK                 GIBA
ZALTBK ESTNFL                     SXEELCMR JIOON
ZALY WKHAALK                      SOAGMYOF
ZCOYSQ SV PSLMMNOGW APNXVGP     NYJTCAFAT

AESTHB                            FYMGKM GSYAUTGTY
AETASB                            TIXAIG
AETHOG SBNAVL                     IRCQYXC QKJIP
AEWWWG IYEMEQZ VLRVOGYY         RUXFLMS
AEXAWVO GH KQBMMNOE SAPNTY      SIKKAA
AEYROGYVQA                        GYVJAGIN
AEYRWXR HY KSEMMNOGW APNXVGP    ZSIONOC
AECLKT                            KZREBKBZ
AECEOK SKKAZL                     IRCQYXC QKJIP
AEDSYXNL PXXRKQZ VLRVOGYY       HBFVICRUEX
AEDXOGIS                          MUFBRAFAT
AEDXOG SWM                        PNUMFXC QKJIP
AEJXMK PCZGEHYYI                  EMMDIR
  WSWFCHHCIJ LTPATKA
AIRFQBKGFRI AS PBBUKWK          IOFVSYOF
AISCOG YZ GOFN FDH ETVBMMIVRW   IZNR
  YIACSJICKELMBG BR AKVTQ WIJSKWK
AIW LJBZ FS ZUWUKWK             JSJSCT
AICCS THVCME DHPTME OEYL        EYTNUCGBCR
  JPLTAGO BG RVDOAJ
ALLTZTUD OFLS RL                 JLHWKXC QKJIP
ALPDGTSSFAKT                      UEMOKK
  BW NZBMMNOGW APNXVGP
ALFCGMVH ZKEOAL                   SYTNUCGBCR
AMMPH QQAEGD                    KGIAG
AFTWWLJ                           OPWJOOE
AMPCFT LIC WUHKZ                  FLKKBTZTE PAQYE
AMUFOGI DM CBNMMNOGW APNXVGP    ZIOINA
AMXZF                             BVPCEMFLO
AMXZF LMM                         WEVMAV BFMAA
AMYTOG                            VBZTURFE FHVZNZA ZALNNLK
AMCLB LBIAVL HW                  IVWWFV BFMAA
ASMLUH                            HSITWWRL NVG TRBNJH
ASVJC NG OKPUKWK                KAHSL
ASYVWG UHVN BL                   JLHWKXC QKJIP
ASCZBMC LG PHBMMNOGW APNXVGP    PEEAOC
ASCCSL GKIEAL                     IRCQYXC QKJIP
ASDSYXBL AKWUDXNL               BJFRDCRUEX
AVLYGCFRQSW                      XFUDNW
AVLYGDVI                          FGEXP STLBJA
AVLYGRCVNFGL                      MOZINZO
AVTPGMV CW UHRMMNOE SAPNTY      OXNNW
AVTYRTUM VOHD HM                 MYACMM
AVTACEZ CH DZAN FDH ETVBMMIVRW  LQOCD
  YIACSJICKELMBG BR JSYHGBR
  LQMLGWK
AVTDHTE LS VUAKA ILBBP            YRWHI ZETRGH
AVZMFBRBE ZALNQLK                 AACXS CEL AUVRAG
AVFNWTC MVITPK                    NNBXWX NZTF HMZRBXQA
AVFV WLCUXLK                      XIPUGZMUZO
AWFROKM MZRRCL                    IRCQYXC QKJIP
AYLXCMO IEZTHLK TLRV LCLQGMO    FDSGWM GSYAUTGTY
AYMFOB CTFAVLK TLRV LCMYSB      ZSYNKM GSYAUTGTY
AYYTG NM RUTUKWK                UUFAQBU
AYCTB NM TWAMMNOGW              CEAEC
AYCVWLB JDZSPLL                   RTTTFTBN OPXIP
AYCVAXHZIM                        XHZIMXHZCFEA
AYCVG BMCKFL HLSFDVE              SLLGRTBN OPXIP
ACCZZ LMLHS                      AHUEF
ACCCVXLZRU WRI                    AGDENTBN OPXIP

BHZCB OV QFAMMNOGW              NSABPTUD
BPLLBVLATNS                       MOGGFXWN
BPWFBAOZ                         EBXHO CCLXH
BRTXOE CIES CIRSAL              IRCQYXC QKJIP
BRTZB IS ACIWJL GJKMTDWUB         ACUWGIR MDRZBAHNRO BGNLNSSW PSKIFMS
  YIAFPCMRM                       HPWTYOE YRFIKRSSAX RQKGLJQKGL
                                  SEEGWL LBOPULVBH GOYLOHO CXGNIR
                                  AEUTYBSCIX BMKKZXHZCFEA CCKAVHO
                                  BDMPYCRUEX
BRTESX NZTF UEGUCCMR              YHJXV WEPXT
BTAPF PDAXR                       WICDIOU
BWDC                              OLEWEIR MDRZBAHNRO BGNLNSSW PSKIFMS
                                  NIZCUOE YRFIKRSSAX RQKGLJQKGL
                                  SEEGWL LBOPULVBH GOYLOHO CXGNIR
                                  AEUTYBSCIX BMKKZXHZCFEA CCKAVHO
                                  BDMPYCRUEX
CEOFN PS SIRN FDH ETVBMMIVRW    LQRGKEMRUAXMA
  YIACSJICKELMBG FKWA MZIWOG
  ZATENWNTTMH
CEVSOI CYYRVFCI NINVRJ          APNHNNNYAAA
CEWPBXIL YF EWNMMNOE SAPNTY     YTNKL
CEWWSOTL FW XFBUKWK             NADLY
CEYNCPVRT IM XSEMMNOGW APNXVGP  PEEAOC
CEYNCPVRT WMGEEL                  ULNNGC
CEY OWZMRQ AXDEVL                 IRCQYXC QKJIP
CEETQVN VQVY HU MFZUKWK         WALAAVN VQVY
CIWPN YI WE FRQPRG DQRFN SI      FDNLR
CIYOO                             NSHWH STLBJA
CICLQMYQ UU TIMMMNOE SAPNTY     SIKKAA
CICOS DWCDRL HLSFDVE              HSCOJXC QKJIP
CMNECMQC NG VUBUKWK             TEQUFWPJGZ
CMPYBV CW RZBUKWK VS EAQMAAV    SMAHEIU
  AS TYHXFVNMMFAAE WFTAYWQGTVWMS
  PR GTSVAV CRIVE
CMPYHDIRR NA EZFUKWK            MAGK
CMWYWPA TABYJQZ VLRVOGYY        YKXYSLVBH
CSWNOIC TULNBLK                   UACDF
CSDECF WKEOXL                     CTRVEKBZ
CVLYUZCYN UWEPOJ                 JNJGDR
  DVLYUAC IFREYL

DEVSOJ CYYRVFCI                   RNJVRNNYAAA
  USH GOXVWI CYYRVFCI
DEWPG                             QNTXWX XQGKGYU
DEWGWO BLT                        AGVTF STLBJA
DECDOS UJ WMXUKWK               QODSLS
DEDSWJGLVV QI MVR SGKTECIEF     UAMGXX FBTXHK
  TMDDWAV GX BVR IXT AS NZE
  VVRLBWQGTVWM OY IARFNCMR
  ZXLESK HAL
DIOOSHP VHE                       LEDENTBN OPXIP
DIWWWJKEZV HY XAOUKWK           OEO RCNPWMH
DIDESNR UAEEAGS                   PNPMQXC QKJIP
  DIDE YKVWT CHIEIL
