name of file ,feature 1 , feature 2 , feature 3 , feature 4, result
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1124.txt,292,68,13,97,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted973.txt,280,55,20,95,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1022.txt,328,68,23,115,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1030.txt,105,22,11,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1126.txt,293,52,11,109,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1106.txt,429,80,32,127,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1113.txt,340,56,16,119,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted995.txt,301,53,22,101,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted962.txt,322,66,15,105,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted976.txt,115,20,7,34,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1005.txt,185,23,9,65,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted977.txt,409,65,32,128,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted988.txt,288,51,18,105,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1018.txt,257,52,10,91,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1079.txt,97,19,3,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted991.txt,232,44,18,79,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1105.txt,364,64,10,132,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1110.txt,282,39,22,88,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted997.txt,159,33,13,51,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1014.txt,441,84,33,150,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted989.txt,114,20,5,41,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted987.txt,62,17,5,19,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1088.txt,364,56,25,115,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted980.txt,315,54,15,100,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1070.txt,191,42,11,74,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1087.txt,191,30,7,62,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1123.txt,377,70,16,127,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1089.txt,176,30,12,54,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1023.txt,344,58,18,111,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted981.txt,216,39,9,72,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted983.txt,247,54,20,90,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1026.txt,428,70,26,144,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1000.txt,227,59,14,69,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted969.txt,377,72,21,111,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1027.txt,178,31,10,58,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1045.txt,80,16,1,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1063.txt,250,59,23,87,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1029.txt,120,29,7,41,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1053.txt,69,13,2,22,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1003.txt,309,54,14,122,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1083.txt,339,71,22,113,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1055.txt,320,67,14,113,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1107.txt,98,18,6,32,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted979.txt,70,11,3,28,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1041.txt,355,64,20,119,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1008.txt,298,55,9,111,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1047.txt,177,28,8,63,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1118.txt,329,59,16,113,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted993.txt,92,16,7,34,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1108.txt,401,56,14,137,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1130.txt,300,58,14,98,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1060.txt,275,49,17,92,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1013.txt,68,11,4,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1075.txt,387,84,24,139,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted985.txt,104,32,6,32,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1016.txt,323,53,22,107,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted961.txt,297,54,14,100,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1128.txt,321,64,19,112,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1048.txt,482,77,21,199,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1042.txt,409,71,19,143,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1103.txt,383,106,18,111,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted968.txt,138,30,2,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted998.txt,139,26,9,48,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted992.txt,110,27,6,39,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted958.txt,423,85,16,138,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1111.txt,393,62,26,135,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1051.txt,102,23,6,37,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1054.txt,247,45,9,76,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1012.txt,368,70,22,127,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1061.txt,327,62,22,122,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted986.txt,283,57,11,84,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1037.txt,431,75,22,132,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1059.txt,321,55,11,99,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1095.txt,270,48,12,86,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted965.txt,303,52,14,103,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1007.txt,229,41,15,69,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1080.txt,437,90,20,161,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted970.txt,310,59,13,101,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1114.txt,313,51,18,112,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1010.txt,305,62,15,90,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted990.txt,113,20,8,40,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted967.txt,95,16,2,27,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1039.txt,366,58,14,121,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1076.txt,175,33,11,67,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1127.txt,417,83,26,147,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1032.txt,454,91,28,160,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1101.txt,168,31,4,55,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1015.txt,117,18,8,44,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1117.txt,324,58,18,109,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1100.txt,110,23,8,40,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1071.txt,280,51,19,87,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1120.txt,427,67,17,152,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1078.txt,69,15,5,15,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1085.txt,321,56,19,113,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1125.txt,193,29,9,74,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1001.txt,435,89,33,147,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted984.txt,138,31,4,44,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1096.txt,258,40,7,90,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1064.txt,223,45,16,68,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted964.txt,104,17,5,28,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted971.txt,103,17,5,29,0
/root/Desktop/final Project/type of ecrypted/RSA/Unencrypted/Unencrypted1081.txt,405,90,26,138,0
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1014-44%.txt,1319,1225,0,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-859-55%.txt,1020,944,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-863-36%.txt,969,895,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-990-82%.txt,4218,3951,1,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-928-47%.txt,2666,2493,2,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-962-97%.txt,1320,1226,1,9,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-889-85%.txt,6669,6254,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-975-56%.txt,1519,1414,1,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-902-97%.txt,5069,4751,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-904-66%.txt,4219,3952,0,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-879-91%.txt,3766,3528,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-952-44%.txt,1768,1651,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1013-73%.txt,868,802,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-930-80%.txt,4670,4374,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1022-44%.txt,1769,1651,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-899-63%.txt,2967,2775,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-898-39%.txt,3118,2916,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-869-75%.txt,2270,2119,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-887-50%.txt,2867,2681,2,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-987-68%.txt,4066,3809,0,2,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-966-40%.txt,1120,1036,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-956-42%.txt,1569,1460,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-932-86%.txt,5518,5173,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-911-49%.txt,2671,2493,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-967-67%.txt,2220,2070,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-971-61%.txt,669,613,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-872-38%.txt,2471,2307,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-974-87%.txt,1617,1509,1,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-927-88%.txt,918,848,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-884-90%.txt,3170,2964,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-970-41%.txt,1519,1413,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1009-50%.txt,1920,1789,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-982-78%.txt,819,754,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-871-93%.txt,4667,4374,0,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-848-67%.txt,2167,2023,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-854-45%.txt,968,896,2,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-861-38%.txt,1820,1696,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-958-82%.txt,666,614,3,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-985-62%.txt,3420,3200,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1005-100%.txt,2820,2635,0,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-959-68%.txt,1769,1648,1,8,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-972-45%.txt,2620,2446,1,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-955-73%.txt,4316,4044,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-876-100%.txt,5020,4703,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-997-38%.txt,269,237,0,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-988-63%.txt,1117,1036,0,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-860-66%.txt,1868,1741,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-969-40%.txt,1468,1365,1,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1012-31%.txt,553,517,0,0,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-895-51%.txt,3419,3198,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-867-52%.txt,1316,1225,1,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-903-66%.txt,720,661,3,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-906-46%.txt,569,520,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1000-82%.txt,4770,4467,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-905-88%.txt,6720,6300,1,8,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1010-59%.txt,1366,1272,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-950-89%.txt,4212,3953,2,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-914-100%.txt,2620,2447,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-921-53%.txt,570,519,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-960-68%.txt,2471,2307,0,9,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-995-64%.txt,1415,1318,3,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-890-35%.txt,2517,2352,1,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-856-79%.txt,5971,5595,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-857-31%.txt,1918,1788,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-853-66%.txt,3765,3528,0,2,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-882-73%.txt,2769,2587,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-923-86%.txt,1764,1647,2,1,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-999-96%.txt,2720,2540,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-915-70%.txt,2368,2212,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-993-34%.txt,1466,1365,2,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-916-100%.txt,6418,6020,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-968-96%.txt,5420,5078,0,8,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-981-51%.txt,3016,2822,1,2,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-896-65%.txt,1319,1224,1,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-991-50%.txt,819,754,1,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1017-83%.txt,4817,4515,1,4,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-885-87%.txt,7067,6632,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-940-60%.txt,1368,1271,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-949-94%.txt,1067,989,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-964-51%.txt,1467,1368,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-1011-80%.txt,1070,990,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-965-73%.txt,2569,2399,1,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-977-97%.txt,2669,2493,0,5,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-851-75%.txt,3465,3246,2,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-933-65%.txt,770,709,0,7,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-918-36%.txt,1120,1036,0,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-998-63%.txt,1968,1835,1,6,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-894-80%.txt,6418,6018,1,3,1
/root/Desktop/final Project/type of ecrypted/RSA/Encrypted/RSA-983-31%.txt,1821,1695,0,6,1
