Kuwait US Embassy               Kuwait
Monterrey US Consulate General  Mexico
Montevideo US Embassy           Uruguay
Montreal US Consulate General   Canada
  US Mission to the International
  Civil Aviation Organization
  ICAO
Moravian Gate                     Czechoslovakia
Moroni US Embassy               Comoros
Mortlock Islands                  Micronesia Federated States of
Moscow US Embassy               Russia
Mozambique Channel                Indian Ocean
Mulege US Consular Agency       Mexico
Munich US Consulate General     Germany
Musandam Peninsula                Oman United Arab Emirates
Muscat US Embassy               Oman
Muscat and Oman                   Oman
Myanma Myanmar                   Burma

Naha US Consulate General       Japan
Nairobi US Embassy              Kenya
Namposhoto                       Japan
Naples US Consulate General     Italy
Nassau US Embassy               Bahamas The
Natuna Besar Islands              Indonesia
NDjamena US Embassy            Chad
Netherlands East Indies           Indonesia
Netherlands Guiana                Suriname
Nevis                             Saint Kitts and Nevis
New Delhi US Embassy            India
Newfoundland                      Canada
New Guinea                        Indonesia Papua New Guinea
New Hebrides                      Vanuatu
New Siberian Islands              Russia
New Territories                   Hong Kong
New York New York US Mission    United States
  to the United Nations USUN
Niamey US Embassy               Niger
Nice US Consular Agency         France
Nicobar Islands                   India
Nicosia US Embassy              Cyprus
Nightingale Island                Saint Helena
North Atlantic Ocean              Atlantic Ocean
North Channel                     Atlantic Ocean
Northeast Providence Channel      Atlantic Ocean
Northern Epirus                   Albania Greece
Northern Grenadines               Saint Vincent and the Grenadines
Northern Ireland                  United Kingdom
Northern Rhodesia                 Zambia
North Island                      New Zealand
North Korea                       Korea North
North Pacific Ocean               Pacific Ocean
North Sea                         Atlantic Ocean
North Vietnam                     Vietnam
Northwest Passages                Arctic Ocean
North Yemen Yemen Arab Republic Yemen
Norwegian Sea                     Atlantic Ocean
Nouakchott US Embassy           Mauritania
Novaya Zemlya                     Russia
Nuevo Laredo US Consulate       Mexico
Nyasaland                         Malawi

Oahu                              United States
Oaxaca US Consular Agency       Mexico
Ocean Island Banaba             Kiribati
Ocean Island Kure Island        United States
Ogaden                            Ethiopia Somalia
Oil Islands Chagos Archipelago  British Indian Ocean Territory
Okhotsk Sea of                   Pacific Ocean
Okinawa                           Japan
Oman Gulf of                     Indian Ocean
Ombai Strait                      Pacific Ocean
Oporto US Consulate             Portugal
Oran US Consulate               Algeria
Oresund The Sound               Atlantic Ocean
Orkney Islands                    United Kingdom
OsakaKobe US Consulate General Japan
Oslo US Embassy                 Norway
Otranto Strait of                Atlantic Ocean
Ottawa US Embassy               Canada
Ouagadougou US Embassy          Burkina
Outer Mongolia                    Mongolia

Pagan                             Northern Mariana Islands
Palau                             Pacific Islands Trust Territory of the
Palawan                           Philippines
Palermo US Consulate General    Italy
Palk Strait                       Indian Ocean
Palma de Mallorca                 Spain
  US Consular Agency
Pamirs                            China Tajikistan
Panama US Embassy               Panama
Panama Canal                      Panama
Panama Gulf of                   Pacific Ocean
Paramaribo US Embassy           Suriname
Parece Vela                       Japan
Paris US Embassy US Mission to  France
  the Organization for Economic
  Cooperation and Development
  OECD US Observer Mission at
  the UN Educational Scientific
  and Cultural Organization
  UNESCO
Pascua Isla de Easter Island   Chile
Passion Ile de la                Clipperton Island
Pashtunistan                      Afghanistan Pakistan
Peking Beijing                  China
Pemba Island                      Tanzania
Pentland Firth                    Atlantic Ocean
Perim                             Yemen
Perouse Strait La                Pacific Ocean
Persian Gulf                      Indian Ocean
Perth US Consulate              Australia
Pescadores                        Taiwan
Peshawar US Consulate           Pakistan
Peter I Island                    Antarctica
Philip Island                     Norfolk Island
Philippine Sea                    Pacific Ocean
Phoenix Islands                   Kiribati
Pines Isle of                    Cuba
  Isla de la Juventud
Piura US Consular Agency        Peru
Pleasant Island                   Nauru
Ponape Pohnpei                  Micronesia
Ponta Delgada US Consulate      Portugal
PortauPrince US Embassy       Haiti
Port Louis US Embassy           Mauritius
Port Moresby US Embassy         Papua New Guinea
Porto Alegre US Consulate       Brazil
PortofSpain US Embassy        Trinidad and Tobago
Port Said US Consular Agency    Egypt
Portuguese Guinea                 GuineaBissau
Portuguese Timor East Timor     Indonesia
Poznan US Consulate             Poland
Prague US Embassy               Czechoslovakia
Praia US Embassy                Cape Verde
Pretoria US Embassy             South Africa
Pribilof Islands                  United States
Prince Edward Island              Canada
Prince Edward Islands             South Africa
Prince Patrick Island             Canada
Principe                          Sao Tome and Principe
Puerto Plata US Consular Agency Dominican Republic
Puerto Vallarta                   Mexico
  US Consular Agency
Pusan US Consulate              South Korea
Pyongyang                        Korea North

Quebec US Consulate General     Canada
Queen Charlotte Islands           Canada
Queen Elizabeth Islands           Canada
Queen Maud Land                   Antarctica
  claimed by Norway
Quito US Embassy                Ecuador

Rabat US Embassy                Morocco
Ralik Chain                       Marshall Islands
Rangoon US Embassy              Burma
Ratak Chain                       Marshall Islands
Recife US Consulate             Brazil
Redonda                           Antigua and Barbuda
Red Sea                           Indian Ocean
Revillagigedo Island              United States
Revillagigedo Islands             Mexico
Reykjavik US Embassy            Iceland
Rhodes                            Greece
Rhodesia                          Zimbabwe
Rhodesia Northern                Zambia
Rhodesia Southern                Zimbabwe
Riga Interim Chancery           Latvia
Rio de Janeiro                    Brazil
  US Consulate General
Rio de Oro                        Western Sahara
Rio Muni                          Equatorial Guinea
Riyadh US Embassy               Saudi Arabia
Robinson Crusoe Island            Chile
  Mas a Tierra
Rocas Atol das                   Brazil
Rockall disputed                United Kingdom
Rodrigues                         Mauritius
Rome US Embassy US Mission to   Italy
  the UN Agencies for Food and
  Agriculture FODAG
Roncador Cay                      Colombia
Roosevelt Island                  Antarctica
Ross Dependency                   Antarctica
  claimed by New Zealand
Ross Island                       Antarctica
Ross Sea                          Antarctica
Rota                              Northern Mariana Islands
Rotuma                            Fiji
Ryukyu Islands                    Japan

Saba                              Netherlands Antilles
Sabah                             Malaysia
Sable Island                      Canada
Sahel                             Burkina Cape Verde Chad The Gambia
                                     GuineaBissau Mali Mauritania
                                     Niger Senegal
Saigon Ho Chi Minh City         Vietnam
Saint Brandon                     Mauritius
Saint Christopher and Nevis       Saint Kitts and Nevis
Saint Georges US Embassy       Grenada
Saint Georges Channel            Atlantic Ocean
Saint Johns US Embassy         Antigua and Barbuda
Saint Lawrence Gulf of           Atlantic Ocean
Saint Lawrence Island             United States
Saint Lawrence Seaway             Atlantic Ocean
Saint Martin                      Guadeloupe
Saint Martin Sint Maarten       Netherlands Antilles
Saint Paul Island                 Canada
Saint Paul Island                 United States
Saint Paul Island                 French Southern and Antarctic Lands
  Ile SaintPaul
Saint Peter and Saint Paul Rocks  Brazil
  Penedos de Sao Pedro e
  Sao Paulo
Saint Petersburg                  Russia
  US Consulate General
Saint Vincent Passage             Atlantic Ocean
Saipan                            Northern Mariana Islands
Sakhalin Island Ostrov Sakhalin Russia
Sala y Gomez Isla                Chile
Salisbury Harare                Zimbabwe
Salvador de Bahia                 Brazil
  US Consular Agency
Salzburg US Consulate General   Austria
Sanaa US Embassy                Yemen
San Ambrosio                      Chile
San Andres y Providencia         Colombia
  Archipielago
San Bernardino Strait             Pacific Ocean
San Felix Isla                   Chile
San Jose US Embassy             Costa Rica
San Luis Potosi                   Mexico
  US Consular Agency
San Miguel Allende                Mexico
  US Consular Agency
San Salvador US Embassy         El Salvador
Santa Cruz US Consular Agency   Bolivia
Santa Cruz Islands                Solomon Islands
Santiago US Embassy             Chile
Santo Domingo US Embassy        Dominican Republic
Sao Luis US Consular Agency     Brazil
Sao Paulo US Consulate General  Brazil
Sao Pedro e Sao Paulo            Brazil
  Penedos de
Sapporo US Consulate General    Japan
Sapudi Strait                     Indian Ocean
Sarawak                           Malaysia
Sardinia                          Italy
Sargasso Sea                      Atlantic Ocean
Sark                              Guernsey
Scotia Sea                        Atlantic Ocean
Scotland                          United Kingdom
Scott Island                      Antarctica
Senyavin Islands                  Micronesia Federated States of
Seoul US Embassy                Korea South
Serbia                            Serbia and Montenegro
Serrana Bank                      Colombia
Serranilla Bank                   Colombia
Severnaya Zemlya Northland      Russia
Seville US Consular Agency      Spain
Shag Island                       Heard Island and McDonald Islands
Shag Rocks                        Falkland Islands Islas Malvinas
Shanghai US Consulate General   China
Shenyang US Consulate General   China
Shetland Islands                  United Kingdom
Shikoku                           Japan
Shikotan Shikotanto            Japan
Siam                              Thailand
Sibutu Passage                    Pacific Ocean
Sicily                            Italy
Sicily Strait of                 Atlantic Ocean
Sikkim                            India
Sinai                             Egypt
Singapore US Embassy            Singapore
Singapore Strait                  Pacific Ocean
Sinkiang Xinjiang               China
Sint Eustatius                    Netherlands Antilles
Sint Maarten Saint Martin       Netherlands Antilles
Skagerrak                         Atlantic Ocean
Slovakia                          Czechoslovakia
Society Islands                   French Polynesia
  Iles de la Societe
Socotra                           Yemen
Sofia US Embassy                Bulgaria
Solomon Islands northern         Papua New Guinea
Solomon Islands southern         Solomon Islands
Soloman Sea                       Pacific Ocean
Songkhla US Consulate           Thailand
Sound The Oresund              Atlantic Ocean
South Atlantic Ocean              Atlantic Ocean
South China Sea                   Pacific Ocean
Southern Grenadines               Grenada
Southern Rhodesia                 Zimbabwe
South Georgia                     South Georgia and the South
                                    Sandwich Islands
South Island                      New Zealand
South Korea                       Korea South
South Orkney Islands              Antarctica
South Pacific Ocean               Pacific Ocean
South Sandwich Islands            South Georgia and the South
                                    Sandwich Islands
South Shetland Islands            Antarctica
South Tyrol                       Italy
South Vietnam                     Vietnam
SouthWest Africa                 Namibia
South Yemen Peoples Democratic  Yemen
  Republic of Yemen
Soviet Union                      Armenia Azerbaijan Byelarus Estonia
                                  Georgia Kazakhstan Kyrgyzstan
                                  Latvia Lithuania Moldova Russia
                                  Tajikistan Turkmenistan Ukraine
                                  Uzbekistan
Spanish Guinea                    Equatorial Guinea
Spanish Sahara                    Western Sahara
Spitsbergen                       Svalbard
Stockholm US Embassy            Sweden
Strasbourg US Consulate General France
Stuttgart US Consulate General  Germany
Suez Gulf of                     Indian Ocean
Sulu Archipelago                  Philippines
Sulu Sea                          Pacific Ocean
Sumatra                           Indonesia
Sumba                             Indonesia
Sunda Islands Soenda Isles      Indonesia Malaysia
Sunda Strait                      Indian Ocean
Surabaya US Consulate           Indonesia
Surigao Strait                    Pacific Ocean
Surinam                           Suriname
Suva US Embassy                 Fiji
Swains Island                     American Samoa
Swan Islands                      Honduras
Sydney US Consulate General     Australia

Tahiti                            French Polynesia
Taipei                            Taiwan
Taiwan Strait                     Pacific Ocean
Tallin Interim Chancery         Estonia
Tampico US Consular Agency      Mexico
Tanganyika                        Tanzania
Tangier US Consulate General    Morocco
Tarawa                            Kiribati
Tartar Strait                     Pacific Ocean
Tashkent Interim Chancery       Uzbekistan
Tasmania                          Australia
Tasman Sea                        Pacific Ocean
Taymyr Peninsula                  Russia
  Poluostrov Taymyra
Tegucigalpa US Embassy          Honduras
Tehran US post not maintained   Iran
  representation by Swiss Embassy
Tel Aviv US Embassy             Israel
Terre Adelie Adelie Land        Antarctica
  claimed by France
Thailand Gulf of                 Pacific Ocean
Thessaloniki                      Greece
  US Consulate General
Thurston Island                   Antarctica
Tibet Xizang                    China
Tbilisi                           Georgia
Tierra del Fuego                  Argentina Chile
Tijuana US Consulate General    Mexico
Timor                             Indonesia
Timor Sea                         Indian Ocean
Tinian                            Northern Mariana Islands
Tiran Strait of                  Indian Ocean
Tobago                            Trinidad and Tobago
Tokyo US Embassy                Japan
Tonkin Gulf of                   Pacific Ocean
Toronto US Consulate General    Canada
Torres Strait                     Pacific Ocean
Toshkent Tashkent               Uzbekistan
TransJordan                      Jordan
Transkei                          South Africa
Transylvania                      Romania
Trieste US Consular Agency      Italy
Trindade Ilha de                 Brazil
Tripoli US post not maintained  Libya
  representation by Belgian
  Embassy
Tristan da Cunha Group            Saint Helena
Trobriand Islands                 Papua New Guinea
Trucial States                    United Arab Emirates
Truk Islands                      Micronesia
Tsugaru Strait                    Pacific Ocean
Tuamotu Islands Iles Tuamotu    French Polynesia
Tubuai Islands Iles Tubuai      French Polynesia
Tunis US Embassy                Tunisia
Turin US Consulate              Italy
Turkish Straits                   Atlantic Ocean
Turkmeniya                        Turkmenistan
Turks Island Passage              Atlantic Ocean
Tyrol South                      Italy
Tyrrhenian Sea                    Atlantic Ocean

Udorn US Consulate              Thailand
Ulaanbaatar                       Mongolia
Ullungdo                         Korea South
Unimak Pass strait              Pacific Ocean
Union of Soviet Socialist         Armenia Azerbaijan Byelarus Estonia
  Republics                       Georgia Kazakhstan Kyrgyzstan
                                  Latvia Lithuania Moldova Russia
                                  Tajikistan Turkmenistan Ukraine
                                  Uzbekistan
United Arab Republic              Egypt Syria
Upper Volta                       Burkina
USSR                              Armenia Azerbaijan Byelarus Estonia
                                  Georgia Kazakhstan Kyrgyzstan
                                  Latvia Lithuania Moldova Russia
                                  Tajikistan Turkmenistan Ukraine
                                  Uzbekistan
Vaduz US post not maintained    Liechtenstein
  representation from Zurich
  Switzerland
Vakhan Corridor Wakhan          Afghanistan
Valencia US Consular Agency     Spain
Valletta US Embassy             Malta
Vancouver US Consulate General  Canada
Vancouver Island                  Canada
Van Diemen Strait                 Pacific Ocean
Vatican City US Embassy         Vatican City
Velez de la Gomera Penon de      Spain
Venda                             South Africa
Veracruz US Consular Agency     Mexico
Verde Island Passage              Pacific Ocean
Victoria US Embassy             Seychelles
Vienna US Embassy US Mission    Austria
  to International Organizations
  in Vienna UNVIE
Vientiane US Embassy            Laos
Vilnius Interim Chancery        Lithuania
Volcano Islands                   Japan
Vostok Island                     Kiribati
Vrangelya Ostrov                 Russia
  Wrangel Island

Wakhan Corridor                   Afghanistan
  now Vakhan Corridor
Wales                             United Kingdom
Walvis Bay                        South Africa
Warsaw US Embassy               Poland
Washington DC The Permanent     United States
  Mission of the USA to the
  Organization of American
  States OAS
Weddell Sea                       Atlantic Ocean
Wellington US Embassy           New Zealand
Western Channel                   Pacific Ocean
  West Korea Strait
West Germany Federal Republic    Germany
  of Germany
West Korea Strait                 Pacific Ocean
  Western Channel
West Pakistan                     Pakistan
Wetar Strait                      Pacific Ocean
White Sea                         Arctic Ocean
Windhoek                          Namibia
Windward Passage                  Atlantic Ocean
Winnipeg US Consular Agency     Canada
Wrangel Island Ostrov Vrangelya Russia de facto

Yaounde US Embassy              Cameroon
Yap Islands                       Micronesia
Yellow Sea                        Pacific Ocean
Yemen Aden Peoples Democratic Yemen
  Republic of Yemen
Yemen Arab Republic               Yemen
Yemen North Yemen Arab          Yemen
  Republic
Yemen Sanaa Yemen Arab         Yemen
  Republic
Yemen Peoples Democratic        Yemen
  Republic of
Yemen South Peoples Democratic Yemen
  Republic of Yemen
Yerevan                           Armenia
Youth Isle of                    Cuba
  Isla de la Juventud
Yucatan Channel                   Atlantic Ocean
Yugoslavia                        Bosnia and Hercegovina Croatia
                                  Macedonia Serbia and Montenegro
                                  Slovenia

Zagreb US Consulate General     Yugoslavia
Zanzibar                          Tanzania
Zurich US Consulate General     Switzerland





                ALICES ADVENTURES IN WONDERLAND

                          Lewis Carroll

               THE MILLENNIUM FULCRUM EDITION 




                            CHAPTER I

                      Down the RabbitHole


  Alice was beginning to get very tired of sitting by her sister
on the bank and of having nothing to do  once or twice she had
peeped into the book her sister was reading but it had no
pictures or conversations in it and what is the use of a book
thought Alice without pictures or conversation?

  So she was considering in her own mind as well as she could
for the hot day made her feel very sleepy and stupid whether
the pleasure of making a daisychain would be worth the trouble
of getting up and picking the daisies when suddenly a White
Rabbit with pink eyes ran close by her

  There was nothing so VERY remarkable in that nor did Alice
think it so VERY much out of the way to hear the Rabbit say to
itself Oh dear  Oh dear  I shall be late  when she thought
it over afterwards it occurred to her that she ought to have
wondered at this but at the time it all seemed quite natural
but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT
POCKET and looked at it and then hurried on Alice started to
her feet for it flashed across her mind that she had never
before seen a rabbit with either a waistcoatpocket or a watch to
take out of it and burning with curiosity she ran across the
field after it and fortunately was just in time to see it pop
down a large rabbithole under the hedge

  In another moment down went Alice after it never once
considering how in the world she was to get out again

  The rabbithole went straight on like a tunnel for some way
and then dipped suddenly down so suddenly that Alice had not a
moment to think about stopping herself before she found herself
falling down a very deep well

  Either the well was very deep or she fell very slowly for she
had plenty of time as she went down to look about her and to
wonder what was going to happen next  First she tried to look
down and make out what she was coming to but it was too dark to
see anything then she looked at the sides of the well and
noticed that they were filled with cupboards and bookshelves
here and there she saw maps and pictures hung upon pegs  She
took down a jar from one of the shelves as she passed it was
labelled ORANGE MARMALADE but to her great disappointment it
was empty  she did not like to drop the jar for fear of killing
somebody so managed to put it into one of the cupboards as she
fell past it

  Well thought Alice to herself after such a fall as this I
shall think nothing of tumbling down stairs  How brave theyll
all think me at home  Why I wouldnt say anything about it
even if I fell off the top of the house Which was very likely
true

  Down down down  Would the fall NEVER come to an end  I
wonder how many miles Ive fallen by this time? she said aloud
I must be getting somewhere near the centre of the earth  Let
me see  that would be four thousand miles down I think for
you see Alice had learnt several things of this sort in her
lessons in the schoolroom and though this was not a VERY good
opportunity for showing off her knowledge as there was no one to
listen to her still it was good practice to say it over yes
thats about the right distancebut then I wonder what Latitude
or Longitude Ive got to?  Alice had no idea what Latitude was
or Longitude either but thought they were nice grand words to
say

  Presently she began again  I wonder if I shall fall right
THROUGH the earth  How funny itll seem to come out among the
people that walk with their heads downward  The Antipathies I
think she was rather glad there WAS no one listening this
time as it didnt sound at all the right word but I shall
have to ask them what the name of the country is you know
Please Maam is this New Zealand or Australia? and she tried
to curtsey as she spokefancy CURTSEYING as youre falling
through the air  Do you think you could manage it?  And what
an ignorant little girl shell think me for asking  No itll
never do to ask  perhaps I shall see it written up somewhere

  Down down down  There was nothing else to do so Alice soon
began talking again  Dinahll miss me very much tonight I
should think  Dinah was the cat  I hope theyll remember
her saucer of milk at teatime  Dinah my dear  I wish you were
down here with me  There are no mice in the air Im afraid but
you might catch a bat and thats very like a mouse you know
But do cats eat bats I wonder?  And here Alice began to get
rather sleepy and went on saying to herself in a dreamy sort of
way Do cats eat bats?  Do cats eat bats? and sometimes Do
bats eat cats? for you see as she couldnt answer either
question it didnt much matter which way she put it  She felt
that she was dozing off and had just begun to dream that she
was walking hand in hand with Dinah and saying to her very
earnestly Now Dinah tell me the truth  did you ever eat a
bat? when suddenly thump thump down she came upon a heap of
sticks and dry leaves and the fall was over

  Alice was not a bit hurt and she jumped up on to her feet in a
moment  she looked up but it was all dark overhead before her
was another long passage and the White Rabbit was still in
sight hurrying down it  There was not a moment to be lost
away went Alice like the wind and was just in time to hear it
say as it turned a corner Oh my ears and whiskers how late
its getting  She was close behind it when she turned the
corner but the Rabbit was no longer to be seen  she found
herself in a long low hall which was lit up by a row of lamps
hanging from the roof

  There were doors all round the hall but they were all locked
and when Alice had been all the way down one side and up the
other trying every door she walked sadly down the middle
wondering how she was ever to get out again

  Suddenly she came upon a little threelegged table all made of
solid glass there was nothing on it except a tiny golden key
and Alices first thought was that it might belong to one of the
doors of the hall but alas either the locks were too large or
the key was too small but at any rate it would not open any of
them  However on the second time round she came upon a low
curtain she had not noticed before and behind it was a little
door about fifteen inches high  she tried the little golden key
in the lock and to her great delight it fitted

  Alice opened the door and found that it led into a small
passage not much larger than a rathole  she knelt down and
looked along the passage into the loveliest garden you ever saw
How she longed to get out of that dark hall and wander about
among those beds of bright flowers and those cool fountains but
she could not even get her head though the doorway and even if
my head would go through thought poor Alice it would be of
very little use without my shoulders  Oh how I wish
I could shut up like a telescope  I think I could if I only
know how to begin  For you see so many outoftheway things
had happened lately that Alice had begun to think that very few
GSRMTH RMWVVW DVIV IVZOOB RNKLHHRYOV

  GSVIV HVVNVW GL YV ML FHV RM DZRGRMT YB GSV ORGGOV WLLI HL HSV
DVMG YZXP GL GSV GZYOV SZOU SLKRMT HSV NRTSG URMW ZMLGSVI PVB LM
RG LI ZG ZMB IZGV Z YLLP LU IFOVH ULI HSFGGRMT KVLKOV FK ORPV
GVOVHXLKVH  GSRH GRNV HSV ULFMW Z ORGGOV YLGGOV LM RG DSRXS
XVIGZRMOB DZH MLG SVIV YVULIV HZRW ZORXV ZMW ILFMW GSV MVXP
LU GSV YLGGOV DZH Z KZKVI OZYVO DRGS GSV DLIWH WIRMP NV
YVZFGRUFOOB KIRMGVW LM RG RM OZITV OVGGVIH

  RG DZH ZOO EVIB DVOO GL HZB WIRMP NV YFG GSV DRHV ORGGOV
ZORXV DZH MLG TLRMT GL WL GSZG RM Z SFIIB  ML ROO OLLP
URIHG HSV HZRW ZMW HVV DSVGSVI RGH NZIPVW "KLRHLM" LI MLG
ULI HSV SZW IVZW HVEVIZO MRXV ORGGOV SRHGLIRVH ZYLFG XSROWIVM DSL
SZW TLG YFIMG ZMW VZGVM FK YB DROW YVZHGH ZMW LGSVI FMKOVZHZMG
GSRMTH ZOO YVXZFHV GSVB DLFOW MLG IVNVNYVI GSV HRNKOV IFOVH
GSVRI UIRVMWH SZW GZFTSG GSVN  HFXS ZH GSZG Z IVWSLG KLPVI
DROO YFIM BLF RU BLF SLOW RG GLL OLMT ZMW GSZG RU BLF XFG BLFI
URMTVI EVIB WVVKOB DRGS Z PMRUV RG FHFZOOB YOVVWH ZMW HSV SZW
MVEVI ULITLGGVM GSZG RU BLF WIRMP NFXS UILN Z YLGGOV NZIPVW
KLRHLM RG RH ZONLHG XVIGZRM GL WRHZTIVV DRGS BLF HLLMVI LI
OZGVI

  SLDVEVI GSRH YLGGOV DZH MLG NZIPVW KLRHLM HL ZORXV EVMGFIVW
GL GZHGV RG ZMW URMWRMT RG EVIB MRXV RG SZW RM UZXG Z HLIG
LU NRCVW UOZELFI LU XSVIIBGZIG XFHGZIW KRMVZKKOV ILZHG
GFIPVB GLUUVV ZMW SLG YFGGVIVW GLZHG HSV EVIB HLLM URMRHSVW
RG LUU

                                               

                                            

                                               

  DSZG Z XFIRLFH UVVORMT HZRW ZORXV R NFHG YV HSFGGRMT FK
ORPV Z GVOVHXLKV

  ZMW HL RG DZH RMWVVW  HSV DZH MLD LMOB GVM RMXSVH SRTS ZMW
SVI UZXV YIRTSGVMVW FK ZG GSV GSLFTSG GSZG HSV DZH MLD GSV IRTSG
HRAV ULI TLRMT GSLFTS GSV ORGGOV WLLI RMGL GSZG OLEVOB TZIWVM
URIHG SLDVEVI HSV DZRGVW ULI Z UVD NRMFGVH GL HVV RU HSV DZH
TLRMT GL HSIRMP ZMB UFIGSVI  HSV UVOG Z ORGGOV MVIELFH ZYLFG
GSRH ULI RG NRTSG VMW BLF PMLD HZRW ZORXV GL SVIHVOU RM NB
TLRMT LFG ZOGLTVGSVI ORPV Z XZMWOV  R DLMWVI DSZG R HSLFOW YV
ORPV GSVM?  ZMW HSV GIRVW GL UZMXB DSZG GSV UOZNV LU Z XZMWOV RH
ORPV ZUGVI GSV XZMWOV RH YOLDM LFG ULI HSV XLFOW MLG IVNVNYVI
VEVI SZERMT HVVM HFXS Z GSRMT

  ZUGVI Z DSROV URMWRMT GSZG MLGSRMT NLIV SZKKVMVW HSV WVXRWVW
LM TLRMT RMGL GSV TZIWVM ZG LMXV YFG ZOZH ULI KLLI ZORXV DSVM
HSV TLG GL GSV WLLI HSV ULFMW SV SZW ULITLGGVM GSV ORGGOV TLOWVM
PVB ZMW DSVM HSV DVMG YZXP GL GSV GZYOV ULI RG HSV ULFMW HSV
XLFOW MLG KLHHRYOB IVZXS RG  HSV XLFOW HVV RG JFRGV KOZRMOB
GSILFTS GSV TOZHH ZMW HSV GIRVW SVI YVHG GL XORNY FK LMV LU GSV
OVTH LU GSV GZYOV YFG RG DZH GLL HORKKVIB ZMW DSVM HSV SZW
GRIVW SVIHVOU LFG DRGS GIBRMT GSV KLLI ORGGOV GSRMT HZG WLDM ZMW
XIRVW

  XLNV GSVIVH ML FHV RM XIBRMT ORPV GSZG HZRW ZORXV GL
SVIHVOU IZGSVI HSZIKOB R ZWERHV BLF GL OVZEV LUU GSRH NRMFGV
HSV TVMVIZOOB TZEV SVIHVOU EVIB TLLW ZWERXV GSLFTS HSV EVIB
HVOWLN ULOOLDVW RG ZMW HLNVGRNVH HSV HXLOWVW SVIHVOU HL
