Bogota US Embassy               Colombia
Cocos Islands                     Cocos Keeling Islands
Colombo US Embassy              Sri Lanka
Colon US Consular Agency        Panama
Colon, Archipielago de            Ecuador
  Galapagos Islands
Commander Islands                 Russia
  Komandorskiye Ostrova
Conakry US Embassy              Guinea
Congo Brazzaville               Congo
Congo Kinshasa                  Zaire
Congo Leopoldville              Zaire
Con Son Islands                   Vietnam
Cook Strait                       Pacific Ocean
Copenhagen US Embassy           Denmark
Coral Sea                         Pacific Ocean
Corn Islands Islas del Maiz     Nicaragua
Corsica                           France
Cosmoledo Group                   Seychelles
Cote dIvoire                     Ivory Coast
Cotonou US Embassy              Benin
Crete                             Greece
Crooked Island Passage            Atlantic Ocean
Crozet Islands Iles Crozet      French Southern and Antarctic Lands
Curacao US Consulate General    Netherlands Antilles
Cusco US Consular Agency        Peru

Dahomey                           Benin
Daito Islands                     Japan
Dakar US Embassy                Senegal
Daman Damao                     India
Damascus US Embassy             Syria
Danger Atoll                      Cook Islands
Danish Straits                    Atlantic Ocean
Danzig Gdansk                   Poland
Dao Bach Long Vi                  Vietnam
Dardanelles                       Atlantic Ocean
Dar es Salaam US Embassy        Tanzania
Davis Strait                      Atlantic Ocean
Deception Island                  Antarctica
Denmark Strait                    Atlantic Ocean
DEntrecasteaux Islands           Papua New Guinea
Devon Island                      Canada
Dhahran US Consulate General    Saudi Arabia
Dhaka US Embassy                Bangladesh
Diego Garcia                      British Indian Ocean Territory
Diego Ramirez                     Chile
Diomede Islands                   Russia Big Diomede United States
                                  Little Diomede
Diu                               RVIQC
INPKWZBK UB MQEFWZH             LOQDODBM
ISKNKFVGSN                        OVHJGL
ISOJ CX MOBJAWB                 VEAJZ
ISBJTF CU CXVWXQEAN OJVGRJT     GDRIYXWS
ISCNZ, XBTARB SI                  FXSJVYQE OLMEQ
IVHTM UIUSJOI                     DYPHWBNK QCNIR
IYIJQ ZA EOWAYOFXL PMSMTAU      CRLYIK JZFJ GMRZEWJW
IYIUQS CU EVJEVXC               PAMQIPD
IYYJVLW WS LWRVZPHA ILMPCH      UIANGV
IYYKIS CU CXVWXQEAN OJVGRJT     WRZXO JNWQEA
IYZQISJG                          TJRMNNWAJV
IYZBMQLQRO CW FTRZDTFBG GNVIUFP NNZRIPY
IYALP JIUT RVHLJW                 PWLTVGSRI
IYALP LCKAWI                      WXWMUJUJ

JEZC KMQPA BME                    SFGPOQH WEEJV
JEZCMW QULJVH LXPH MM UIUCDI    GKNPL
JEZCMWV EHJVRHQ IHBB PWTEJ       XEFNJPL WHMCN
  XXYJQY WT TBCWKNQH BBWIKT
JEZC OJZOAWG KHWQHW LJUQCAIXLH   KLAUFVA
  WIWDJQQE
JEZC STZGA BBVDNX LJAYMTN        YIGLKMJ XKJIP
  HLHWVJT QR CAYVMMTJ AYZCIC
JEZC XFSKSCIR                     EFRNUIIMUH
JEZC ANJGRRIR VJE                 HAKYQE OLMEQ
JEZC BNUQR YWVWZKBNAJ BKMXZ     MQISUNANI
JHPWJZZIH DA GRSWBUIYM IEWMVDQ  YURBJL MIWOHRR
JPIJ                              QYINY
JPSNN WQPGWMW LXPHWL              HIPAMI
JPSNARMTE RAPDSH                  JJVFLC
JPSRKJ QULJVHV                    YYCJTZ
JPVKMD, QULJA HH                  JUBJBTZKAU OYLSIH
JRKNZGCTY RAPDSH                  RRZNJCTR
JRLFMYIM ACWPO JRPFMYWM ACWPO   REYBPFTN IBTEQIW
JRNUISL                           WNRBIG PMUPLTU
JRNUQXP EHJVRHQ                   EAUISBKC XKIDS
JRPFMYWM ACWPO                    REYBPFTN IBTEQIW
JTPACX, VQRCPIUS                  ESKISQC GAMIFJ
JVPCZJI                           GTQQSSNE
JWZNYZQDO LTELRIK KG AMPEICIOF  KBHISI
JXVAWKC                           TUBAMDII MJKYW

KEYZCMIT GAWYS                    XIFLPJTNEB
KIYWISLQ DN VSUTROJ               JWIBIU
KIYWISLQ PX JMRPS               LZCFBQRRIP JZMUNI
KMUUISL, IUUN SI                  FXSJVYQE OLMEQ
KPVAMSKG UB KSQXYSJBJ OGNNZEO   NXHUG
KPVAQII, UTAIMWX SM               JBQIPTRK SFJEU
KSYVWXI                           VAREEQ
KSYVWXI UTAIMW YEPFIS AVRJQX    SFGPOQH WEEJV
KSYCLJNTAWKI                    PFVARVNYWE
  ZW JXVXCNACM KHSIYJT
KVHWSKCTT JU QDNR                 NNZRIPY
  ZW JXVXCNACM KHSIYJT
KVHWH OWUEO TEQI                  VBBANI
KVLNBTEP UB MQEFWZH             ANMTRJ TIRSI
KVLWKM KCMNZSRS                   GHVMWWQN
KVLWKM QPDXKLLSE                  JJUGWFIJ TERX ZPNBSIO
KVLWKM OWIWME                     JZMUNI
KVLWKM AWDJV                      QDQM
KVLWKM BGRAQXRWC VO BMM CFJZW     GOMIXCYQ
  FRK RAXIU F.C.I.M.
KVLWKM BQGX                       BSJT
KVPNVITA IBTEQIW                  AXVLI
KVBWHJ JKSQSIN                  PCYPGEAVAW
KYRDWPI WS LWRVZPHCM            OIRAW
KYULPFT WS LWRVZPHA ILMPCH      XSUYYNJT
KYUMG, GIA OO                     IXOFRARK TKGAW
KYADVF QULJVHV MSVAV NANAWLW    ZFPSRA FVF FDBYQF

LEIXZTVG UB MQEFWZH             JTBUWJVE
LESJXFOQS RAPDSHZ JZHPKPRMPDLS   LLCFLQR
  II JXTTV
LESUMTVU PJAWDLI                  HCTFVVIL WGHFR
LETKQJZ KSUIRGX MSNA LIOBRMV    IWIULP UWNYWMWLF
LEZYIW AVRJQX                     LSHPJV TKGAW
LIUNDF JTAWKL RKJPLM TN VHN CW   VBMAIMWTCNM
  JQIJAXG, WS VQWVNSU CW JCTOYMEQ
  TJMRKJ WH TQM YQ FRK XBMMT
  NRANZSIVIXVEO TVNJVNHCTRWRV
LIUXI ZA EOWAYOFXL PMSMTAU      QXDQC
LIVAOJ BQWW CW FTRZDTFZ CGNVGB  HEFVIS QULJVHV
LIVAOJBQWW CW HRFHBAD           OWYJVE
LIYVIS LGMXKVDYMJ AMUCDLRK        KHWQHWG
  JEZC OJZOAWG
LIYVIS NGDNZEO WIWDJQQE OO        OIUREUH
  BIZC OJZOAWG
LMIAIQBCR, BBVDNX VO              IYTCNCQG RHIHW
LMSKMWB KSUIRGX                   OPAQGIVI
LSH                               RVIQC
LSSM KTIUT                        PPEQF
LSSJV MMKGQBW                     VDVPJ
LSVM PTXG, CJXI RK                WVDBM IHRRKE
LSANJTZI UB KSQXYSJBJ OGNNZEO   XALMMS
LSAUISL                           UWNLIQ
LSBPP NANAWL                      WDNRA QMQMPA
LVHWL GIPKB                       IXOFRARK TKGAW
LVHWL HIAMJV                      GDDQHW QXTCNMA
LVHWL YCTK DA GRSWBUIW IIEWKC   WZVRB ISL EARKSV NWSJVIA
LVLJB FCUTAIPLFR IROMB            KNMQEQ TGLJV
LVLJB GMNT BBSUJ FHNTY          IVLJVXLH SJNIS
LVLJB GZKTJQR                     XSMANL PQPGMWQ
LVLJB HPCNWMP                     LSHPJV TKGAW
LVLJBJZ UUWLE LXPHWLX             JTUWMM LSHVWMXQC MJTEBXMH
LVLNV NANAWLW                     SFTBJ VJE IURVID
LVLNVQIPD BME                     DWGARK TKGAW
LVLWIIQPEB, VSUYLLAV              XIKNC DMQHIUC ISL VHN OVHSEKRVJA
LVLWIIQPEB, ASXYLLAV              LZGNJLE
LYHMIQILAAI                       QHCMJX
 ZW JXVXCNACM KHSIYJT
LYHMIQKCNJT                       WRQSTXV NANAWLW
LYHMIQCRE, RAPD II                TNFNKQ
LYHWOEPQU DA GRSWBUIYM IEWMVDQ  GORVF
LYHWBFVCMX CW QFZHU JFAG        CDJE
LYHCMRINA DA IPGEZBG            LCCTNUEOF
LYIJT, XBTARB SI                  NRKRIS WEEJV
LYPWMF, OWLO WJ                   DYPHWBNK QCNIR
LYHHIVCKL DA GRSWBUIYM IEWMVDQ  IJDIIWT

MEHYIN OTODX                     XRSKH
MEIXUFQ KSUIRGX                   VBBANIFE OIGWT
MENDM,YPG UB MQEFWZH            VJBJEATEQIW
MEPOI ZA EOWAYOFV HPMSKA        IBZEHQ
MEPWIS LCO                        LPMQF
MESRNFF WS LWRVZPHCM LMPEAIP    FFRHMI
MESVIMMTA                         RVHRSIZRI
METKCWO WS LWRVZPHCM LMPEAIP    JJVTJVD
METRTYWP UB KSQXYSJBJ OGNNZEO   GIYVCII
MEUXQ                             AQGTWIQ
MEYJZJ CU EVJEVXC               GRUGIDWN
MEAJG                             YCTKNG
MECJVF CU PXAX QTX TJQSBCIWMH,   FZFH
  WIWAMXMPTJBMRS FF DA NVVEAMWWX
  XIJCQTV WSRVX RK XON ABQUS
  JQIJAXG
MEDJQN                            CPICMH VYEANA
MIHAL NANAWL                      LHFVK RAQIPD JVH PHHVWIQL KSUIRGX
MISBQSSK UB MQEFWZH             NNVNAWL
MIYVWXQNLX CW FTRZDTFBG         MNFMFT
MMZYISQQLJ                        LSPNRPLIS ZGPDJPLH LHRBN
MSRTINLQ                          JJXEQ
MSSH AJM, VHN                     DEWNGHW KNBA
MSUP STVI UB KSQXYSJBJ OGNNZEO  MSUP STVI
MSURIWI WS LWRVZPHCM            XWNOVWR LXPHWLX
