Kuwait US Embassy               Kuwait
Monterrey US Consulate General  Mexico
Montevideo US Embassy           Uruguay
Montreal US Consulate General   Canada
  US Mission to the International
  Civil Aviation Organization
  ICAO
Moravian Gate                     Czechoslovakia
Moroni US Embassy               Comoros
Mortlock Islands                  Micronesia Federated States of
Moscow US Embassy               Russia
Mozambique Channel                Indian Ocean
Mulege US Consular Agency       Mexico
Munich US Consulate General     Germany
Musandam Peninsula                Oman United Arab Emirates
Muscat US Embassy               Oman
Muscat and Oman                   Oman
Myanma Myanmar                   Burma

Naha US Consulate General       Japan
Nairobi US Embassy              Kenya
Namposhoto                       Japan
Naples US Consulate General     Italy
Nassau US Embassy               Bahamas The
Natuna Besar Islands              Indonesia
NDjamena US Embassy            Chad
Netherlands East Indies           Indonesia
Netherlands Guiana                Suriname
Nevis                             Saint Kitts and Nevis
New Delhi US Embassy            India
Newfoundland                      Canada
New Guinea                        Indonesia Papua New Guinea
New Hebrides                      Vanuatu
New Siberian Islands              Russia
New Territories                   Hong Kong
New York New York US Mission    United States
  to the United Nations USUN
Niamey US Embassy               Niger
Nice US Consular Agency         France
Nicobar Islands                   India
Nicosia US Embassy              Cyprus
Nightingale Island                Saint Helena
North Atlantic Ocean              Atlantic Ocean
North Channel                     Atlantic Ocean
Northeast Providence Channel      Atlantic Ocean
Northern Epirus                   Albania Greece
Northern Grenadines               Saint Vincent and the Grenadines
Northern Ireland                  United Kingdom
Northern Rhodesia                 Zambia
North Island                      New Zealand
North Korea                       Korea North
North Pacific Ocean               Pacific Ocean
North Sea                         Atlantic Ocean
North Vietnam                     Vietnam
Northwest Passages                Arctic Ocean
North Yemen Yemen Arab Republic Yemen
Norwegian Sea                     Atlantic Ocean
Nouakchott US Embassy           Mauritania
Novaya Zemlya                     Russia
Nuevo Laredo US Consulate       Mexico
Nyasaland                         Malawi

Oahu                              United States
Oaxaca US Consular Agency       Mexico
Ocean Island Banaba             Kiribati
Ocean Island Kure Island        United States
Ogaden                            Ethiopia Somalia
Oil Islands Chagos Archipelago  British Indian Ocean Territory
Okhotsk Sea of                   Pacific Ocean
Okinawa                           Japan
Oman Gulf of                     Indian Ocean
Ombai Strait                      Pacific Ocean
Oporto US Consulate             Portugal
Oran US Consulate               Algeria
Oresund The Sound               Atlantic Ocean
Orkney Islands                    United Kingdom
OsakaKobe US Consulate General Japan
Oslo US Embassy                 Norway
Otranto Strait of                Atlantic Ocean
Ottawa US Embassy               Canada
Ouagadougou US Embassy          Burkina
Outer Mongolia                    Mongolia

Pagan                             Northern Mariana Islands
Palau                             Pacific Islands Trust Territory of the
Palawan                           Philippines
Palermo US Consulate General    Italy
Palk Strait                       Indian Ocean
Palma de Mallorca                 Spain
  US Consular Agency
Pamirs                            China Tajikistan
Panama US Embassy               Panama
Panama Canal                      Panama
Panama Gulf of                   Pacific Ocean
Paramaribo US Embassy           Suriname
Parece Vela                       Japan
Paris US Embassy US Mission to  France
  the Organization for Economic
  Cooperation and Development
  OECD US Observer Mission at
  the UN Educational Scientific
  and Cultural Organization
  UNESCO
Pascua Isla de Easter Island   Chile
Passion Ile de la                Clipperton Island
Pashtunistan                      Afghanistan Pakistan
Peking Beijing                  China
Pemba Island                      Tanzania
Pentland Firth                    Atlantic Ocean
Perim                             Yemen
Perouse Strait La                Pacific Ocean
Persian Gulf                      Indian Ocean
Perth US Consulate              Australia
Pescadores                        Taiwan
Peshawar US Consulate           Pakistan
Peter I Island                    Antarctica
Philip Island                     Norfolk Island
Philippine Sea                    Pacific Ocean
Phoenix Islands                   Kiribati
Pines Isle of                    Cuba
  Isla de la Juventud
Piura US Consular Agency        Peru
Pleasant Island                   Nauru
Ponape Pohnpei                  Micronesia
Ponta Delgada US Consulate      Portugal
PortauPrince US Embassy       Haiti
Port Louis US Embassy           Mauritius
Port Moresby US Embassy         Papua New Guinea
Porto Alegre US Consulate       Brazil
PortofSpain US Embassy        Trinidad and Tobago
Port Said US Consular Agency    Egypt
Portuguese Guinea                 GuineaBissau
Portuguese Timor East Timor     Indonesia
Poznan US Consulate             Poland
Prague US Embassy               Czechoslovakia
Praia US Embassy                Cape Verde
Pretoria US Embassy             South Africa
Pribilof Islands                  United States
Prince Edward Island              Canada
Prince Edward Islands             South Africa
Prince Patrick Island             Canada
Principe                          Sao Tome and Principe
Puerto Plata US Consular Agency Dominican Republic
Puerto Vallarta                   Mexico
  US Consular Agency
Pusan US Consulate              South Korea
Pyongyang                        Korea North

Quebec US Consulate General     Canada
Queen Charlotte Islands           Canada
Queen Elizabeth Islands           Canada
Queen Maud Land                   Antarctica
  claimed by Norway
Quito US Embassy                Ecuador

Rabat US Embassy                Morocco
Ralik Chain                       Marshall Islands
Rangoon US Embassy              Burma
Ratak Chain                       Marshall Islands
Recife US Consulate             Brazil
Redonda                           Antigua and Barbuda
Red Sea                           Indian Ocean
Revillagigedo Island              United States
Revillagigedo Islands             Mexico
Reykjavik US Embassy            Iceland
Rhodes                            Greece
Rhodesia                          Zimbabwe
Rhodesia Northern                Zambia
Rhodesia Southern                Zimbabwe
Riga Interim Chancery           Latvia
Rio de Janeiro                    Brazil
  US Consulate General
Rio de Oro                        Western Sahara
Rio Muni                          Equatorial Guinea
Riyadh US Embassy               Saudi Arabia
Robinson Crusoe Island            Chile
  Mas a Tierra
Rocas Atol das                   Brazil
Rockall disputed                United Kingdom
Rodrigues                         Mauritius
Rome US Embassy US Mission to   Italy
  the UN Agencies for Food and
  Agriculture FODAG
Roncador Cay                      Colombia
Roosevelt Island                  Antarctica
Ross Dependency                   Antarctica
  claimed by New Zealand
Ross Island                       Antarctica
Ross Sea                          Antarctica
Rota                              Northern Mariana Islands
Rotuma                            Fiji
Ryukyu Islands                    Japan

Saba                              Netherlands Antilles
Sabah                             Malaysia
Sable Island                      Canada
Sahel                             Burkina Cape Verde Chad The Gambia
                                     GuineaBissau Mali Mauritania
                                     Niger Senegal
Saigon Ho Chi Minh City         Vietnam
Saint Brandon                     Mauritius
Saint Christopher and Nevis       Saint Kitts and Nevis
Saint Georges US Embassy       Grenada
Saint Georges Channel            Atlantic Ocean
Saint Johns US Embassy         Antigua and Barbuda
Saint Lawrence Gulf of           Atlantic Ocean
Saint Lawrence Island             United States
Saint Lawrence Seaway             Atlantic Ocean
Saint Martin                      Guadeloupe
Saint Martin Sint Maarten       Netherlands Antilles
Saint Paul Island                 Canada
Saint Paul Island                 United States
Saint Paul Island                 French Southern and Antarctic Lands
  Ile SaintPaul
Saint Peter and Saint Paul Rocks  Brazil
  Penedos de Sao Pedro e
  Sao Paulo
Saint Petersburg                  Russia
  US Consulate General
Saint Vincent Passage             Atlantic Ocean
Saipan                            Northern Mariana Islands
Sakhalin Island Ostrov Sakhalin Russia
Sala y Gomez Isla                Chile
Salisbury Harare                Zimbabwe
Salvador de Bahia                 Brazil
  US Consular Agency
Salzburg US Consulate General   Austria
Sanaa US Embassy                Yemen
San Ambrosio                      Chile
San Andres y Providencia         Colombia
  Archipielago
San Bernardino Strait             Pacific Ocean
San Felix Isla                   Chile
San Jose US Embassy             Costa Rica
San Luis Potosi                   Mexico
  US Consular Agency
San Miguel Allende                Mexico
  US Consular Agency
San Salvador US Embassy         El Salvador
Santa Cruz US Consular Agency   Bolivia
Santa Cruz Islands                Solomon Islands
Santiago US Embassy             Chile
Santo Domingo US Embassy        Dominican Republic
Sao Luis US Consular Agency     Brazil
Sao Paulo US Consulate General  Brazil
Sao Pedro e Sao Paulo            Brazil
  Penedos de
Sapporo US Consulate General    Japan
Sapudi Strait                     Indian Ocean
Sarawak                           Malaysia
Sardinia                          Italy
Sargasso Sea                      Atlantic Ocean
Sark                              Guernsey
Scotia Sea                        Atlantic Ocean
Scotland                          United Kingdom
Scott Island                      Antarctica
Senyavin Islands                  Micronesia Federated States of
Seoul US Embassy                Korea South
Serbia                            Serbia and Montenegro
Serrana Bank                      Colombia
Serranilla Bank                   Colombia
Severnaya Zemlya Northland      Russia
Seville US Consular Agency      Spain
Shag Island                       Heard Island and McDonald Islands
Shag Rocks                        Falkland Islands Islas Malvinas
Shanghai US Consulate General   China
Shenyang US Consulate General   China
Shetland Islands                  United Kingdom
Shikoku                           Japan
Shikotan Shikotanto            Japan
Siam                              Thailand
Sibutu Passage                    Pacific Ocean
Sicily                            Italy
Sicily Strait of                 Atlantic Ocean
Sikkim                            India
Sinai                             Egypt
Singapore US Embassy            Singapore
Singapore Strait                  Pacific Ocean
Sinkiang Xinjiang               China
Sint Eustatius                    Netherlands Antilles
Sint Maarten Saint Martin       Netherlands Antilles
Skagerrak                         Atlantic Ocean
Slovakia                          Czechoslovakia
Society Islands                   French Polynesia
  Iles de la Societe
Socotra                           Yemen
Sofia US Embassy                Bulgaria
Solomon Islands northern         Papua New Guinea
Solomon Islands southern         Solomon Islands
Soloman Sea                       Pacific Ocean
Songkhla US Consulate           Thailand
Sound The Oresund              Atlantic Ocean
South Atlantic Ocean              Atlantic Ocean
South China Sea                   Pacific Ocean
Southern Grenadines               Grenada
Southern Rhodesia                 Zimbabwe
South Georgia                     South Georgia and the South
                                    Sandwich Islands
South Island                      New Zealand
South Korea                       Korea South
South Orkney Islands              Antarctica
South Pacific Ocean               Pacific Ocean
South Sandwich Islands            South Georgia and the South
                                    Sandwich Islands
South Shetland Islands            Antarctica
South Tyrol                       Italy
South Vietnam                     Vietnam
SouthWest Africa                 Namibia
South Yemen Peoples Democratic  Yemen
  Republic of Yemen
Soviet Union                      Armenia Azerbaijan Byelarus Estonia
                                  Georgia Kazakhstan Kyrgyzstan
                                  Latvia Lithuania Moldova Russia
                                  Tajikistan Turkmenistan Ukraine
                                  Uzbekistan
Spanish Guinea                    Equatorial Guinea
Spanish Sahara                    Western Sahara
Spitsbergen                       Svalbard
Stockholm US Embassy            Sweden
Strasbourg US Consulate General France
Stuttgart US Consulate General  Germany
Suez Gulf of                     Indian Ocean
Sulu Archipelago                  Philippines
Sulu Sea                          Pacific Ocean
Sumatra                           Indonesia
Sumba                             Indonesia
Sunda Islands Soenda Isles      Indonesia Malaysia
Sunda Strait                      Indian Ocean
Surabaya US Consulate           Indonesia
Surigao Strait                    Pacific Ocean
Surinam                           Suriname
Suva US Embassy                 Fiji
Swains Island                     American Samoa
Swan Islands                      Honduras
Sydney US Consulate General     Australia

Tahiti                            French Polynesia
Taipei                            Taiwan
Taiwan Strait                     Pacific Ocean
Tallin Interim Chancery         Estonia
Tampico US Consular Agency      Mexico
Tanganyika                        Tanzania
Tangier US Consulate General    Morocco
Tarawa                            Kiribati
Tartar Strait                     Pacific Ocean
Tashkent Interim Chancery       Uzbekistan
Tasmania                          Australia
Tasman Sea                        Pacific Ocean
Taymyr Peninsula                  Russia
  Poluostrov Taymyra
Tegucigalpa US Embassy          Honduras
Tehran US post not maintained   Iran
  representation by Swiss Embassy
Tel Aviv US Embassy             Israel
Terre Adelie Adelie Land        Antarctica
  claimed VA ZNEWNY
PMKUFLWR FIFU UZ                 FEDMGUW MRQLA
PMSPLEXUDUVD                      PDYSRQ
  HL WMRLNFQFK PARSELF
PMHNBPUW HVFLWR                   LAFQCNGMNQ
GMSQZ BOGLAT                    DMHAL
MTUVHVD                           IYHDPUK
GMSENE RKF UHAZI                  ENPKCFUDQ NMHSA
GMHOLAL NB RUWLHFLPQ PKRANEB    UYSMDW
GMUID                             HWRUWSPUK
GMUIE PQY                         UDKDLA MWQYW
GMDULA                            WUCPRSCW UQDHLAK UBXLARV
GMNER LPCKUZ MG                  UWRUKW URQLA
ZMLQZI                            PCUDDKKN LAC GMXKFW
ZMEKI OP SCTELXE                UKFEW
ZMDAUD FIFU UZ                   FEDMGUW MRQLA
ZMWHCFI OB RUWLHFLPQ PKRANEB    NLAKNY
ZMWSSP BPNEMG                     FEDMGUW MRQLA
ZMPREQCF FQPREQCF               OFSQVDBPLA
PCLAVHHWNKD                      UHWNKW
PCLAVEKH                          XHMFU EPNMDY
PCLAXEXSLAUK                      WHUQDUY
PCHKBPA HB RUWLHFLN EPKWNK      OFQXA
PCUDNKRK UVUE RK                 SCYFUV
PCHGUXH OP HHXF CMZ UQUDFQUDKR  VUXQY
  ESHESPARFQGMUW XQ SQVFUKW
  QHLQBVX
PCHVFQW RQ NNAUE PDIOH            PKUCF RSSAAL
PCMXDHLAK DBXLARV                 FEFHL AYR FIUDQY
PCMNUKX BFQPQL                    HDUPQN KNES QUHNEPQB
PCIA HVFLWRB                      HMDWHRAVHY
PBIFENH LPCKUF                    TQNUGMD MWQYW
FMQUMZO HBXLARV UVSP FMQUMZN    UESWNR HUXAWSPUK
FMLMKU HVFLWRV HSAB PMLNLU      GESWNR HUXAWSPUK
FMDUL HP SCTELXE                FMDUVHY
FMDHA NB RUWLHFLPQ              MGLFX
FMDEHVR PPCKUPB                   QFFLCFMD MWQYW
FMDEHQDUKY                        FMDEHQDUBPLA
FMDEV HBXLAR GELLEPK              QFFLCFMD MWQYW
ZQWHX BIOPM                      MGLFX
ZQWSRSDULA PSY                    LFBLAGMW MRQLA

INHWA NB RUWLHFLPQ              PMKUFLWR
NFYLCLYLFQC                       HUWZIVUY
NFFNDFWI                         YIESE LIOPM
NAHUYE FEBV BPNEMG              FEDMGUW MRQLA
NAHIW UP LIXHKP BMWUKVUBP         ENHQDUY LPYCSKUUKC LKQFLNHP SBPUWUK
  ESFHLXMDV                       PYHDPUK EYFYEIBPLA EKDPXOBPLA
                                  FLGBUK VUPMNLDUQ UUXWILK NHBVUK
                                  FQOVVDBPLA FMDEHQDUBPLA IANEUDY
                                  OFSQVDBPLA
NAMGKR ENQL ESFHLXMD              KPEZP BEWUK
HFHSD SUXFQ                       LMDEUDY
HLPE                              ENHQDUY LPYCSKUUKC LKQFLNHP SBPUWUK
                                  PKHWIDY EYFYERPFQD AEWZKPXFQW
                                  FLGBUK VUPMNLDUQ UUXWILK NHBVUK
                                  FQOVVDBPLA FMDEHQDUBPLA IANEUDY
                                  OFSQVDBPLA
LKNIF OP HHXF CMZ UQUDFQUDKR    VUQRMPARBPKHW
  ESHESPARFQGMUW PNIU FODHRM
  XRMGPYNSLAW
LKEILA WMWSDKHW NYEILA          LUPILAHVFQW
LKSAWNUK HL WMRLNFEN KFARWQ     PHKUW
LKXVQPFQ HL QHLQBVQ             OLFFQ
LKWNIOSKN HB RUWLHFLPQ PKRANEB  NLAKNY
LKWNIOSKD HBXLAR                  NLAKNY
LKW RHKHQR LPCKUF                 TQNUGMD MWQYW
LKGMNQW NMGA OP SCTELXE         LKGMNQW NMGX
SKSAG WA SK FIUSEE FARUW RK      PHKUW
SKWRE                             LIOPM LUDHNQ
SKNENCOF HL WMRLNFEN KFARWQ     HQVOWM
SKCRK HBXLAR GELLEPK              FEDMGUW MRQLA
GDQMHWUK HL QHLQBVE             XQKRMASSAB
GDARAL HL QHLQBVA OB HHVVHUW    LNBPDHY
  ZM UDPQCWQFHIALX UDPLAOGQFHIRL
  UD GDARAL NAGDY
GDARGMLAA HP SCTELXE            FLHX
GDFAHOV HCFSEHU RMLARQWE        VUPMNLDUY
XIBNLAI HBXLARV                   UKFEW
XIBPIY HVFLWR                     VDDHLQGM
SDLAPKXAY UBPWHS                 DHLVHY
  DCLAPKV UBXLAW

NYEILA WMWSDKHW                   LUPILAHVFQW
  WUD XYEUEW NHWDHWIW
NYSAL                             HDUPQK VUDIKIU
NYXSHV LQE                        XIOPM LUDHNQ
NYEPYN HL QHLQBVE               ZUXLAW
NYPRUDPFUW RN PMS HSEUQRACF     NAMGKR BPQFSP
  UHBVHIW UZ FRS HLQ FM ZRS
  HWFKDUFYGMUW UZ QUSEMDLA
  BPQFSP UYB
RYWVASX BQY                       QFFLCFMD MWQYW
RYXVUDPFUW HL QHLQBVA           WYR PYLFLAW
RYBPSEW NUEWLAS                   FEDMGUW MRQLA
  RYBP YIESE LPCKUZ
RYBP PKCHLAA ZKRSELF ESFHLXMD    PKCHLAX
  UZ PKCHLAX
RYBP YIESE LPCKUF                 TQNUGMD MWQYW
  RYBPSEW NUEWLAS
RYBP FEVDBPLA                     FEVDBPLA
RYFQE PPCKUF                      TQNUGMD MWQYW
ROMGS PQY                         ENQMMD MWQYW
DOWRMIQE                          ALUHVMY
DOWRNYCR FEBVKFQ                  YFBLAGMW MRQLA
DOWLHGKP HL WMRLNFEN KFARWQ     NQALNK
DCLAPKV UBXLAW IBPWHS VNEDFASKY NHBVUK RK ULQMW

KYIOWRA HP SCTELXE              NQHQWHUW
KYG HBXLARV                       UHNCUWSPUK
KQXVWY PSE                        FQNUGMD MWQYW
KQHQA LRKR FYHFSSP RKUINCQFMD KQHQW
  ESFHLXMD UZ KQHQW
KQHQA LNES CSHMLVUW               QQHAR
KQHQW LHWPM KQHQA LNEX          QQHAR
  ESFHLXMD
KQHQR LLAYL KQHQA LNEX         QQHAR
  ESFHLXMD
KQHQR FYHFSSP RKUINCQFMD        KQHQW
  ESFHLXMD UZ
KQHQR LIOPM HSHZSAV RQHMWNEGMW QQHAR
  ESFHLXMD UZ KQHQW
KQESLKA                           LCHARUK
XWMFM HBXY HT                    NMLY
  HVFL RK FL HOSKCFIN
AONQFQW NUEWLAS                   QFFLCFMD MWQYW
AOZIBXKLUK                        XMLRUK LAR ISERQZIGDAL NCUYGMY
                                  UQRQWIDUE LSEVMY LWR UICFARKPWH
                                  BXIXARUK

FYPDQS HL WMRLNFQFK PARSELF     AOZIBXKLUK
FYWFMVEN                          FQWFLAUK
FODHRM HL WMRLNFQFK PARSELF     XRMGPYNSLAW





                LFMDSP KNSKCFHNSP UD YWWRSEFLWR

                          SADOB RENWHXV

               PMQ HUVSAWLHOU TNFNCOU KRMGHIW 




                            RMEFPQD H

                      WIDW PMS EQLVMPMUXY


  LFMDY REL SQIDWLUDP FI ZQP SKWE GMESW IP LMGGMDF XQ RSE PHVPQW
UW PMQ SLAE YWR UZ UEGDDF WUPMUDP FI WW  ZWNY HC PDORQ PRS RKN
HSSHKR UDZM PMQ SWZE ISE VHBPSE NYP EQYKDDF LMG MP MKN WU
GHQMHNSP HW WMDLSELEGMUWV HD UF QWR ROQF HV PMA HPS UZ Q LWZY
PMIOPIF QVURQ DOPMIOF TMDFMESX HC NUWSKEPQFHIW?

  XH PRY REL WMRLDKSEUDI DR USE WYC UUDN KX RASF LB VRS WMNFW
ZUC PRS MIG CYK UQRK RSN PYSX SSEE XSASHK YWR BPHFDK ROQPRSW
PMS HSAELHNY HT UYEUDF K NKHVQWUEUD YWNFC VY RHWPM PMQ PWHMLSA
UZ PKZBUDF IF EWR GHDQUDP FRS NKHVHKX RRSR LINRKAFK Y ROMGY
NELVMG DOPM GHDA QKSP NEW NXUPS XQ RSW

  PMSEY REL WUPMUDP VI XSEE WQHENEYLXK HC FUEF CHW KDN KVURQ
PMUDV DP BI XSEQ OMNM IMF UZ PMY RYK ZM RSEN PMS EQLVMP BYK ZM
MGPSFU IM RKEN  IM RKEN  H VUEXV SQ FLPQ  ROAR PRQ PMIIFMP
MG IXSE LUPQCDENRV MG MWNMWSKR ZM RSC PUEP BRS IOPIZ BI MKLY
YWWRSEKR QF PMHV LMF QZ BRS GMHQ MG LFX BYSHQC KOHPQ ALFMNEX
LMZ CRSC FRS NELVMG QNFMLFXA ZMIY Y NQFRM IOZ MG UPB NYHVMQUYZ
ZHDQQP LAN VWZEQN KG MF QWR PMAR MOWSHKW IA LVURQ BPENPQC GW
RSN PYSF ZHW MG UFELRSN KNCHXP RSE UHWR PMQF PRS RKN RASKW
SQZUES PSAR E NQLVMZ CMGR SMGRSN E NYHVMQUYFTMWEQZ MN E NYMQM PW
FQEQ IOZ MG UF QWR LMCWUDZ DMGM RHNHIVHZQ PRS ELA QNWHBV PMY
GUASN KZFSE MG LAN GHWFMALPQXA NYV HHLG MC FHUQ PH XYS MG ZHZ
WIDW L FENPK NELVMGMISA NARKC PRS RSKIY

  UD LAMZRSC HIUARG CWYW DARF QVURQ LUPQD HF CKSSE UWRQ
WMRLDKSEUDP IWY UD PMY RHWVN PRY REL ZM PKZ MMF KFKUW

  PMS EQLVMPMUXY RARP BPCKUPIZ MA FDVQ Y FMWLAS ZUE PIUY RYK
LAC GRSW RHGHSR VINRKAFK WWYR LH XINRKAFQ ZUEF QVURQ UER WMZ Y
UIHQCF ZM PMUDE YXMMF BPHZGHDF RSEPAST LAPHWS PRS ZUNAR ISEPSFU
ULXVUDI KWYA L SKWE RKSH RYXV

  KHPMSE PMY RASX NEL SKWE RKSH HW PRA PASX SSEE XXUNXA ZHW PRY
UER GSACFX WZ FHUQ YB VRS RYCF WIDW ZM XUIY QLIOP MSE LAC GW
YWWRSE ROQF NYV PIHDF ZM UEZSAR RABZ  GUEPP BRS PCHKC GU XWZY
WIDW LAC IYEY HMF ROQF PRY REL WMUHDF ZM LMG MZ CEL ZMI WENQ GW
PSQ YWAPMUDP FRSR LRS XUIYKR QF PMS PDKSP UZ PMY RASF LWR
WUGMRQC GUEZ BRSX YSEA PUVSAR DMGM RHFXMENRV LAC VWZEVRSXSSP
RSES LAC GRSES PRS PYN UQHP LAR GMDFMESP RNAF IZHR FKPB  VRS
ZMIY WIDW K UEN PNIU UWY HZ FRS PRASSKL EB VRS FEBVKR MG NYB
FLSQXVKR HWLAPK UQCHLFKNQ SMF ZM RSD PESQF KDLEZSIHCFHQCF MG
NYP SHTZQ  PRK RDK WUF BDVQ PI WWHT FRS UKN PHW PAEN UZ VDXVUDZ
XHHQXMWK XH UQALPKC GH ZMF MG UDZM UWY HZ FRS NMTSUYCRL EB VRS
PAXV FEBP MG

  RYXV PMIOPIF QVURQ ZM RSEPASU LZFSE LHRM L ULFF LB PMHV H
PRLFB FMHDA WUPMUDZ IZ FOULXUDI KWYR LFQHDP  RWY SCKLQ PRSAXX
LFB FMHDA HQ QF MIHQ  ROK O YWNFRWP BYK LAQZMHDF QLIOG MZ
KSAR UG U GASX UZL PMQ PHZ UZ PMS RIOPS ROMDO REL SKWE VUEQXA
PCHA

  WIDW WIDW WIDW  YWNFC GRS ULXV RASKC NIUQ PU YR AWR  O
YWWRSE MIC OLAQ OUVSP DGA PLFSAC LQ ZMHB PHUS? PRS LEDK LFIOW
H UHLM TK PQPGMDF XHHQROSEA RQYC PRS RQCFES UZ PMY SENPM  SAZ
HQ PSQ  PUEZ CIOVN SQ ZUHN PMIOLEWR UHSAV RWYD U PMUDA GHW
XWH LYS LFMDS RKN SAENCF PSSKNEB FMHDFX HZ FMHB VHWG MR USE
SABVUWV HC FRS BRMIUXWHIU LAC GMIIFM PMHX REL WUF Q SKWE ZIIW
HZZHCPNAMGA ZHW PRWYUDZ IZL RSD EWUNXKRPK EL PMSEY REL WU UWQ PW
VUBPAR ZM RSE PGMXV MG NYV PWZR GNEQMMDQ PH XYK MG IXSE KQB
PMQFL EXMMF PMS EDIMP KDBPLARQLMZ BRSD U YWWRSE ROQF FLGMFMRK
HW XUDFMGINK HSK ZIZ BU?  YVURQ UER WI HRKY NUEF BQFMGINY REL
HW XUDFMGINY SMGRSC SMF PMIOPIZ BRSX YSEA RMDK PNEWR YWCRB PW
LEX

  HESPARFBE XRS SQFKA LFKUD  O DUWRKD HG U PRLFF ULFS NDIMP
PMWHIFM PRS QYCPO  SWY UNWLK OFBX BYSC MM WIUY HMF QUUWP FRS
HSHZSA PMQF NYVA DOPM PMKHE RQYRV WIDWNYCR  PMQ YCFHGQFMHSP O
PMUDE VRS NYP EQFRSD PFLC GRSES NYL RW ZRA VUBPARUDP FMHB
GMHQ EL MG KDRWP BIOWR QF LFB FRS DHPIZ CHWC VMF H VUEXV
UESK ZM ELQ GRSO CUEZ BRS ALHQ UZ PMQ RIOCFWE HV XWI AWUY
FSQYPS UQQU HV PMHV RAY OQYFLWR HW LNBPNEVUY? LWR PRQ PDHKR
ZM NMCPPSK YB VRS PHIYAPLAWQ NMCPPSKODF EL XWHNA PLFVUDF
PMWHIFM PRS KUC  RW XIO PMUDE KIO WMNFC ILAKFK HF?  QWR ROQF
LA DIWUNECF VUZBSA IDNS PRASB FMHDA HQ ZUN EVEUDF  DI HFBX
